State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Andhra Pradesh,1,Anantapur,2015.0,32.0,15.0,57.0,12.0,325.0,8.0,276.0,0.0,62.0,157.0,0.0,0.0,0.0,8.0,952.0
Andhra Pradesh,2,Chittoor,2015.0,31.0,0.0,20.0,10.0,94.0,1.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,366.0
Andhra Pradesh,3,Cuddapah,2015.0,34.0,7.0,17.0,6.0,211.0,82.0,317.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,690.0
Andhra Pradesh,4,East Godavari,2015.0,104.0,19.0,25.0,13.0,574.0,150.0,522.0,0.0,0.0,3.0,9.0,0.0,0.0,19.0,1438.0
Andhra Pradesh,5,Guntakal Railway,2015.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Andhra Pradesh,6,Guntur,2015.0,67.0,27.0,42.0,13.0,298.0,338.0,483.0,0.0,49.0,0.0,0.0,0.0,0.0,8.0,1325.0
Andhra Pradesh,7,Guntur Urban,2015.0,34.0,5.0,68.0,11.0,159.0,217.0,333.0,0.0,22.0,0.0,1.0,0.0,0.0,24.0,874.0
Andhra Pradesh,8,Krishna,2015.0,77.0,28.0,19.0,17.0,422.0,200.0,575.0,0.0,43.0,0.0,0.0,0.0,0.0,6.0,1387.0
Andhra Pradesh,9,Kurnool,2015.0,40.0,7.0,34.0,19.0,479.0,557.0,400.0,0.0,53.0,130.0,0.0,0.0,0.0,0.0,1719.0
Andhra Pradesh,10,Nellore,2015.0,69.0,18.0,64.0,5.0,314.0,132.0,422.0,0.0,34.0,0.0,0.0,0.0,0.0,5.0,1063.0
Andhra Pradesh,11,Prakasham,2015.0,67.0,11.0,44.0,10.0,276.0,12.0,427.0,0.0,38.0,1.0,2.0,0.0,0.0,18.0,906.0
Andhra Pradesh,12,Rajahmundry,2015.0,29.0,2.0,16.0,1.0,120.0,56.0,207.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,435.0
Andhra Pradesh,13,Srikakulam,2015.0,47.0,5.0,28.0,6.0,119.0,21.0,214.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,460.0
Andhra Pradesh,14,Tirupathi Urban,2015.0,20.0,3.0,16.0,7.0,40.0,22.0,106.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,228.0
Andhra Pradesh,15,Vijayawada City,2015.0,53.0,2.0,26.0,11.0,196.0,123.0,181.0,0.0,24.0,0.0,0.0,0.0,0.0,25.0,641.0
Andhra Pradesh,16,Vijayawada Railway,2015.0,2.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0
Andhra Pradesh,17,Visakha Rural,2015.0,39.0,0.0,23.0,3.0,107.0,43.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0
