,TOTAL_IPC
OTHER_IPC,0.8202156213809063
VIOLENT_CRIME,0.8017883833994919
WOMEN_CRIME_CORE_TOTAL,0.7779661440581954
PROPERTY_CRIME,0.762132117367773
BURGLARY,0.7486182042413904
THEFT,0.7462342862726716
ECONOMIC_OFFENCES,0.7339476444462446
ASSAULT_WOMEN,0.7262195127373489
CHEATING,0.7091954123306233
AUTO_THEFT,0.694046234226783
RAPE,0.6895847725455987
KIDNAPPING_ABDUCTION,0.6346228551584194
CRUELTY_WOMEN,0.634578575751018
MURDER,0.6222994463836132
DEATH_BY_NEGLIGENCE,0.6108387750118818
ROBBERY,0.5782002357492746
CRIMINAL_BREACH_TRUST,0.5603907847222884
PUBLIC_ORDER_CRIME,0.49235669266917514
HURT,0.4826504714969701
RIOTS,0.46539942196013795
ARSON,0.4639318556702741
INSULT_WOMEN,0.45847291613032715
ATTEMPT_MURDER,0.4271943541989235
DOWRY_DEATHS,0.39272341748042777
CULPABLE_HOMICIDE,0.3341230987858723
DACOITY,0.28579813314302405
IMPORTATION_GIRLS,0.14588705506974478
