,count,mean,std,min,25%,50%,75%,max
MURDER,1590.0,42.34905660377358,39.06546178317689,0.0,15.0,33.0,58.0,317.0
ATTEMPT_MURDER,1590.0,48.625786163522015,86.45548130210666,0.0,10.0,29.0,60.0,2249.0
CULPABLE_HOMICIDE,1590.0,4.2320754716981135,7.004060862508907,0.0,0.0,1.5,5.0,52.0
RAPE,1590.0,45.5251572327044,49.403072991093424,0.0,13.0,32.0,63.0,607.0
CUSTODIAL_RAPE,1590.0,0.12578616352201258,1.2852561721805227,0.0,0.0,0.0,0.0,28.0
KIDNAPPING_ABDUCTION,1590.0,90.48616352201257,120.92627401857729,0.0,19.0,54.5,114.0,1198.0
DACOITY,1590.0,5.6213836477987424,11.49602697550363,0.0,0.0,3.0,7.0,317.0
ROBBERY,1590.0,44.03584905660377,127.93923332550023,0.0,5.25,18.0,43.0,2757.0
BURGLARY,1590.0,137.77861635220125,213.2993329997121,0.0,24.0,83.0,175.0,3055.0
THEFT,1590.0,512.6327044025157,1031.588558972399,0.0,86.0,235.5,504.5,11455.0
AUTO_THEFT,1590.0,221.21069182389937,494.5786736754065,0.0,22.0,75.0,199.0,5356.0
RIOTS,1590.0,87.00125786163522,146.20224015635495,0.0,5.0,34.0,101.75,2164.0
CRIMINAL_BREACH_TRUST,1590.0,24.978616352201257,48.32512133864954,0.0,3.0,11.0,27.0,697.0
CHEATING,1590.0,136.52012578616353,263.19878712792416,0.0,16.0,55.5,147.0,3045.0
ARSON,1590.0,11.733333333333333,14.992150942703951,0.0,2.0,7.0,16.0,145.0
HURT,1590.0,343.1025157232704,651.3272774379728,0.0,25.0,125.0,362.25,9144.0
DOWRY_DEATHS,1590.0,10.40314465408805,14.936799608785273,0.0,0.0,5.0,14.0,178.0
ASSAULT_WOMEN,1590.0,96.32075471698113,119.07285640404349,0.0,14.0,56.0,139.0,1626.0
INSULT_WOMEN,1590.0,14.042138364779873,50.096233236384506,0.0,0.0,1.0,8.0,750.0
CRUELTY_WOMEN,1590.0,152.2194968553459,250.12150904328539,0.0,15.0,71.0,184.0,3546.0
IMPORTATION_GIRLS,1590.0,0.02830188679245283,0.3363132727514411,0.0,0.0,0.0,0.0,9.0
DEATH_BY_NEGLIGENCE,1590.0,151.16603773584905,164.0677156975015,0.0,18.0,110.0,215.75,1240.0
OTHER_IPC,1590.0,1280.9622641509434,1705.2049091199428,0.0,228.25,778.5,1751.75,20310.0
TOTAL_IPC,1590.0,3463.3088050314464,3950.2437747607046,0.0,872.25,2426.0,4561.5,40361.0
WOMEN_CRIME_CORE_TOTAL,1590.0,318.53899371069184,396.09082325373464,0.0,72.0,195.0,423.5,4267.0
VIOLENT_CRIME,1590.0,377.1962264150943,421.7162384387984,0.0,127.0,285.5,484.0,5270.0
PROPERTY_CRIME,1590.0,921.2792452830189,1771.3556335119463,0.0,174.25,451.5,935.75,20084.0
ECONOMIC_OFFENCES,1590.0,161.49874213836478,291.2201253703029,0.0,23.0,74.0,177.0,3266.0
PUBLIC_ORDER_CRIME,1590.0,98.73459119496856,152.32406826604213,0.0,11.0,44.0,117.0,2194.0
