STATE_UT,DISTRICT,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Maharashtra,Mumbai Commr.,40361,3181,5270
Maharashtra,MUMBAI COMMR.,34840,2621,5101
Karnataka,Bengaluru City,31892,1388,3361
Karnataka,BANGALORE COMMR.,30318,1065,2444
West Bengal,Kolkata,26668,2198,1411
West Bengal,KOLKATA,26319,2223,1267
Gujarat,SURAT COMMR.,24307,660,681
Madhya Pradesh,Indore,23992,997,1837
Madhya Pradesh,INDORE,22249,1009,1516
Gujarat,AHMEDABAD COMMR.,21258,2080,1518
West Bengal,South 24 Parganas,21049,4267,2038
Delhi UT,Outer,20320,1376,3084
Kerala,Ernakulam Rural,20185,501,392
Kerala,Thrissur Rural,20117,884,559
Andhra Pradesh,CYBERABAD,19992,2395,1085
Bihar,Patna,19804,764,1408
Telangana,Cyberabad,19311,2163,1037
Telangana,Hyderabad City,18940,1917,1247
Delhi UT,East,18642,1282,2304
Delhi UT,West,18488,1227,2306
Bihar,PATNA,18302,650,1272
Kerala,Malappuram,18057,1050,566
Tamil Nadu,COIMBATORE URBAN,17945,85,237
Kerala,MALAPPURAM,17840,1042,485
Kerala,Kottayam,17769,480,397
Tamil Nadu,CHENNAI,17747,526,688
Delhi UT,South,17371,1689,2103
Kerala,THRISSUR RURAL,17207,739,430
Kerala,Ernakulam Commr.,17088,406,289
Delhi UT,North-East,16904,1155,3275
Tamil Nadu,Chennai,16861,593,626
Andhra Pradesh,HYDERABAD CITY,16355,1935,780
Madhya Pradesh,Bhopal,16094,952,1256
West Bengal,24 PARGANAS SOUTH,15567,2430,1115
Gujarat,Ahmedabad City,15286,1078,1057
Uttar Pradesh,Lucknow,15107,1595,1163
Delhi UT,South-East,14914,1194,1980
West Bengal,North 24 Parganas,14867,2689,2194
Kerala,Palakkad,14780,739,430
West Bengal,Murshidabad,14762,3500,4046
Rajasthan,ALWAR,14677,1353,1243
Maharashtra,Pune Commr.,14468,1152,2164
Kerala,ERNAKULAM RURAL,14462,525,461
Madhya Pradesh,BHOPAL,13927,944,1016
