STATE_UT,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Madhya Pradesh,499876,41392,51906
Maharashtra,484219,45679,62594
Uttar Pradesh,466920,46535,77729
Rajasthan,406642,49776,37851
Tamil Nadu,396779,9080,21368
Kerala,383123,21746,15768
West Bengal,362583,59655,45599
Bihar,345050,15051,35108
Andhra Pradesh,332619,43577,26270
Gujarat,288820,18273,16485
Karnataka,274027,18728,28174
Delhi UT,235838,20349,35411
Assam,181523,28063,26160
Haryana,152045,13791,16982
Odisha,146287,21518,31333
Chhattisgarh,115070,9841,15668
Telangana,106830,11967,8179
Jharkhand,93543,7461,12612
Punjab,73829,7767,10666
Jammu & Kashmir,49238,5017,6896
Himachal Pradesh,27910,2389,2650
Uttarakhand,18702,2029,4035
Tripura,11709,2980,2162
Goa,8778,731,1066
Puducherry,7340,101,232
Chandigarh,7298,598,1064
Meghalaya,6938,626,1676
Manipur,6819,375,1313
Arunachal Pradesh,5619,450,1078
Mizoram,3849,429,540
Nagaland,2373,105,546
Sikkim,1916,166,264
A&N Islands,1358,185,219
D&N Haveli,591,22,56
Daman & Diu,479,18,77
Lakshadweep,121,7,5
