STATE_UT,DISTRICT,YEAR,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Maharashtra,Mumbai Commr.,2014,40361,3181,5270
Maharashtra,MUMBAI COMMR.,2013,34840,2621,5101
Karnataka,Bengaluru City,2014,31892,1388,3361
Karnataka,BANGALORE COMMR.,2013,30318,1065,2444
West Bengal,Kolkata,2014,26668,2198,1411
West Bengal,KOLKATA,2013,26319,2223,1267
Gujarat,SURAT COMMR.,2013,24307,660,681
Madhya Pradesh,Indore,2014,23992,997,1837
Madhya Pradesh,INDORE,2013,22249,1009,1516
Gujarat,AHMEDABAD COMMR.,2013,21258,2080,1518
West Bengal,South 24 Parganas,2014,21049,4267,2038
Delhi UT,Outer,2014,20320,1376,3084
Kerala,Ernakulam Rural,2014,20185,501,392
Kerala,Thrissur Rural,2014,20117,884,559
Andhra Pradesh,CYBERABAD,2013,19992,2395,1085
Bihar,Patna,2014,19804,764,1408
Telangana,Cyberabad,2014,19311,2163,1037
Telangana,Hyderabad City,2014,18940,1917,1247
Delhi UT,East,2014,18642,1282,2304
Delhi UT,West,2014,18488,1227,2306
