STATE_UT,DISTRICT,YEAR,MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,HURT,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,RAPE_SHARE,KIDNAPPING_SHARE,SOURCE_DATASET,RECORD_ID,YEAR_NORMALIZED,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,MURDER_SHARE,ROBBERY_SHARE,THEFT_SHARE,BURGLARY_SHARE,SERIOUS_VIOLENT_CRIME,CLUSTER
Andhra Pradesh,ADILABAD,2013,96,72,13,61,0,65,2,14,274,377,86,58,93,254,30,2394,12,197,138,464,0,376,1390,6381,872,520,753,347,88,0.13665569659927912,0.08149192916470772,0.11800658204043253,0.0095596301520137,0.0101864911455884,DATASET_02_2013,Andhra Pradesh_ADILABAD_2013,0.0,860,0.009559630152013792,0.010186491145588466,0.015044663845792195,0.002194013477511362,0.0590816486444131,0.04293997805986523,323,0
Andhra Pradesh,ANANTAPUR,2013,156,149,3,28,0,110,5,23,279,597,154,56,5,160,29,2537,23,337,43,161,0,573,1634,6913,592,811,1058,165,85,0.08563575871546363,0.11731520324027195,0.15304498770432517,0.0040503399392449,0.0159120497613192,DATASET_02_2013,Andhra Pradesh_ANANTAPUR_2013,0.0,569,0.004050339939244901,0.015912049761319255,0.022566179661507306,0.003327064950094026,0.0863590337046145,0.04035874439461883,474,0
Andhra Pradesh,CHITTOOR,2013,72,61,2,31,0,52,3,11,157,512,158,57,17,238,18,937,13,119,84,435,0,546,2239,5610,682,351,841,255,75,0.12156862745098039,0.06256684491978609,0.1499108734402852,0.0055258467023172,0.0092691622103386,DATASET_02_2013,Andhra Pradesh_CHITTOOR_2013,0.0,669,0.00552584670231729,0.009269162210338681,0.012834224598930482,0.00196078431372549,0.09126559714795009,0.027985739750445632,232,0
Andhra Pradesh,CUDDAPAH,2013,93,107,7,19,0,84,2,9,220,702,255,156,81,317,34,2310,9,318,163,207,0,464,1741,7048,716,639,1188,398,190,0.10158910329171396,0.09066401816118047,0.1685584562996595,0.0026958002270147,0.0119182746878547,DATASET_02_2013,Andhra Pradesh_CUDDAPAH_2013,0.0,707,0.002695800227014756,0.01191827468785471,0.013195232690124858,0.0012769580022701475,0.09960272417707151,0.031214528944381384,321,0
Andhra Pradesh,CYBERABAD,2013,162,123,16,138,0,192,15,89,1318,4779,1761,34,179,2111,40,4284,43,350,338,1526,0,1104,3139,19992,2395,1085,7962,2290,74,0.11979791916766706,0.05427170868347339,0.3982593037214886,0.0069027611044417,0.0096038415366146,DATASET_02_2013,Andhra Pradesh_CYBERABAD_2013,0.0,2352,0.006902761104441777,0.009603841536614645,0.008103241296518607,0.004451780712284914,0.23904561824729892,0.06592637054821929,735,0
Andhra Pradesh,EAST GODAVARI,2013,68,71,6,74,0,63,3,15,326,788,310,50,86,222,21,2300,15,352,222,483,0,525,1082,6779,1146,652,1442,308,71,0.16905148251954566,0.0961793774893052,0.212715739784629,0.0109160643162708,0.0092934061070954,DATASET_02_2013,Andhra Pradesh_EAST GODAVARI_2013,0.0,1131,0.010916064316270837,0.009293406107095442,0.010030978020356985,0.002212715739784629,0.11624133353001918,0.0480896887446526,300,0
Andhra Pradesh,GUNTAKAL RLY.,2013,2,0,0,0,0,0,0,0,0,251,0,0,0,3,1,11,0,3,2,0,0,0,24,301,5,5,251,3,1,0.016611295681063124,0.016611295681063124,0.8338870431893688,0.0,0.0,DATASET_02_2013,Andhra Pradesh_GUNTAKAL RLY._2013,0.0,5,0.0,0.0,0.006644518272425249,0.0,0.8338870431893688,0.0,2,1
Andhra Pradesh,GUNTUR,2013,110,87,1,38,0,61,4,21,192,675,200,41,41,305,21,2345,16,296,135,608,0,449,1569,7026,1093,618,1092,346,62,0.1555650441218332,0.08795900939368062,0.15542271562766866,0.0054084827782522,0.0086820381440364,DATASET_02_2013,Andhra Pradesh_GUNTUR_2013,0.0,1077,0.005408482778252206,0.008682038144036437,0.01565613435809849,0.0029888983774551663,0.09607173356105893,0.027327070879590094,322,0
Andhra Pradesh,GUNTUR URBAN,2013,44,51,3,28,0,46,2,26,190,991,408,11,15,372,14,1180,7,124,93,326,0,226,1123,4878,578,324,1617,387,25,0.11849118491184912,0.06642066420664207,0.33148831488314884,0.005740057400574,0.009430094300943,DATASET_02_2013,Andhra Pradesh_GUNTUR URBAN_2013,0.0,571,0.005740057400574006,0.00943009430094301,0.009020090200902008,0.005330053300533005,0.2031570315703157,0.03895038950389504,200,0
Andhra Pradesh,HYDERABAD CITY,2013,120,145,5,101,0,131,6,47,658,4166,1353,118,75,2382,62,3092,39,225,90,1480,0,527,2839,16355,1935,780,6230,2457,180,0.1183124426780801,0.04769183735860593,0.3809232650565576,0.0061754815041271,0.0080097829409966,DATASET_02_2013,Andhra Pradesh_HYDERABAD CITY_2013,0.0,1896,0.006175481504127178,0.008009782940996637,0.007337205747477835,0.002873738917762152,0.25472332619993887,0.04023234484867013,555,0
