STATE_UT,DISTRICT,YEAR,MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,HURT,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,RAPE_SHARE,KIDNAPPING_SHARE,SOURCE_DATASET
Andhra Pradesh,ADILABAD,2013,96,72,13,61,0,65,2,14,274,377,86,58,93,254,30,2394,12,197,138,464,0,376,1390,6381,872,520,753,347,88,0.13665569659927912,0.08149192916470772,0.11800658204043253,0.009559630152013792,0.010186491145588466,DATASET_02_2013
Andhra Pradesh,ANANTAPUR,2013,156,149,3,28,0,110,5,23,279,597,154,56,5,160,29,2537,23,337,43,161,0,573,1634,6913,592,811,1058,165,85,0.08563575871546363,0.11731520324027195,0.15304498770432517,0.004050339939244901,0.015912049761319255,DATASET_02_2013
Andhra Pradesh,CHITTOOR,2013,72,61,2,31,0,52,3,11,157,512,158,57,17,238,18,937,13,119,84,435,0,546,2239,5610,682,351,841,255,75,0.12156862745098039,0.06256684491978609,0.1499108734402852,0.00552584670231729,0.009269162210338681,DATASET_02_2013
Andhra Pradesh,CUDDAPAH,2013,93,107,7,19,0,84,2,9,220,702,255,156,81,317,34,2310,9,318,163,207,0,464,1741,7048,716,639,1188,398,190,0.10158910329171396,0.09066401816118047,0.1685584562996595,0.002695800227014756,0.01191827468785471,DATASET_02_2013
Andhra Pradesh,CYBERABAD,2013,162,123,16,138,0,192,15,89,1318,4779,1761,34,179,2111,40,4284,43,350,338,1526,0,1104,3139,19992,2395,1085,7962,2290,74,0.11979791916766706,0.05427170868347339,0.3982593037214886,0.006902761104441777,0.009603841536614645,DATASET_02_2013
Andhra Pradesh,EAST GODAVARI,2013,68,71,6,74,0,63,3,15,326,788,310,50,86,222,21,2300,15,352,222,483,0,525,1082,6779,1146,652,1442,308,71,0.16905148251954566,0.0961793774893052,0.212715739784629,0.010916064316270837,0.009293406107095442,DATASET_02_2013
Andhra Pradesh,GUNTAKAL RLY.,2013,2,0,0,0,0,0,0,0,0,251,0,0,0,3,1,11,0,3,2,0,0,0,24,301,5,5,251,3,1,0.016611295681063124,0.016611295681063124,0.8338870431893688,0.0,0.0,DATASET_02_2013
Andhra Pradesh,GUNTUR,2013,110,87,1,38,0,61,4,21,192,675,200,41,41,305,21,2345,16,296,135,608,0,449,1569,7026,1093,618,1092,346,62,0.1555650441218332,0.08795900939368062,0.15542271562766866,0.005408482778252206,0.008682038144036437,DATASET_02_2013
Andhra Pradesh,GUNTUR URBAN,2013,44,51,3,28,0,46,2,26,190,991,408,11,15,372,14,1180,7,124,93,326,0,226,1123,4878,578,324,1617,387,25,0.11849118491184912,0.06642066420664207,0.33148831488314884,0.005740057400574006,0.00943009430094301,DATASET_02_2013
Andhra Pradesh,HYDERABAD CITY,2013,120,145,5,101,0,131,6,47,658,4166,1353,118,75,2382,62,3092,39,225,90,1480,0,527,2839,16355,1935,780,6230,2457,180,0.1183124426780801,0.04769183735860593,0.3809232650565576,0.006175481504127178,0.008009782940996637,DATASET_02_2013
Andhra Pradesh,KARIMNAGAR,2013,101,89,10,57,0,118,3,20,349,771,242,96,120,706,45,2593,39,354,276,670,0,535,1881,8836,1396,752,1385,826,141,0.15799004074241738,0.0851063829787234,0.15674513354459033,0.006450882752376641,0.013354459031235853,DATASET_02_2013
Andhra Pradesh,KHAMMAM,2013,103,99,10,100,0,114,6,16,455,887,340,135,52,636,42,2268,15,254,297,768,0,483,3864,10607,1434,702,1704,688,177,0.13519373998303008,0.0661827095314415,0.16064862826435372,0.009427736400490242,0.010747619496558876,DATASET_02_2013
Andhra Pradesh,KRISHNA,2013,56,46,0,58,0,54,0,18,316,579,154,15,31,203,45,2596,14,387,274,708,0,404,1059,6876,1441,619,1067,234,60,0.2095695171611402,0.09002326934264107,0.15517742873763815,0.008435136707388016,0.007853403141361256,DATASET_02_2013
Andhra Pradesh,KURNOOL,2013,127,175,0,26,0,72,12,27,252,565,21,128,16,506,35,2531,11,374,199,203,0,478,1852,7595,813,813,877,522,163,0.10704410796576695,0.10704410796576695,0.11547070441079657,0.0034233048057932852,0.009479921000658328,DATASET_02_2013
Andhra Pradesh,MAHABOOBNAGAR,2013,191,69,31,117,0,90,8,18,394,1207,13,130,52,269,56,2381,33,219,98,234,0,756,1733,8092,701,743,1640,321,186,0.08662876915472072,0.09181908057340583,0.20266930301532377,0.014458724666337124,0.011122095897182402,DATASET_02_2013
Andhra Pradesh,MEDAK,2013,128,77,6,64,0,44,3,14,414,775,245,45,25,358,58,1970,25,169,73,476,0,733,1591,7054,807,505,1451,383,103,0.11440317550326057,0.07159058690104905,0.20569889424440033,0.00907286645874681,0.0062375956903884325,DATASET_02_2013
Andhra Pradesh,NALGONDA,2013,98,100,5,77,0,118,13,27,375,810,244,231,91,499,49,3315,27,367,313,327,0,746,2701,10291,1111,805,1469,590,280,0.10795841026139345,0.0782236906034399,0.14274608881546982,0.0074822660577203385,0.011466329802740259,DATASET_02_2013
Andhra Pradesh,NELLORE,2013,99,110,2,26,0,95,4,41,364,1077,323,29,129,223,29,2533,8,263,221,374,0,455,1239,7326,892,640,1809,352,58,0.12175812175812176,0.08736008736008737,0.24692874692874692,0.003549003549003549,0.012967512967512968,DATASET_02_2013
Andhra Pradesh,NIZAMABAD,2013,117,56,12,49,0,54,5,18,480,1035,338,84,41,373,60,1796,17,142,295,732,0,572,1720,7662,1235,453,1876,414,144,0.1611850691725398,0.0591229444009397,0.24484468807099974,0.006395197076481336,0.007047768206734534,DATASET_02_2013
Andhra Pradesh,PRAKASHAM,2013,77,101,6,39,0,65,7,30,238,694,233,93,81,294,27,2274,8,298,26,484,0,492,1061,6399,855,623,1202,375,120,0.13361462728551335,0.09735896233786528,0.1878418502891077,0.006094702297233943,0.01015783716205657,DATASET_02_2013
Andhra Pradesh,RAJAHMUNDRY,2013,14,15,2,14,0,15,1,18,160,314,132,12,22,48,11,757,2,67,68,209,0,136,365,2251,360,146,625,70,23,0.15992892047978677,0.06486006219458018,0.27765437583296315,0.006219458018658374,0.006663705019991115,DATASET_02_2013
Andhra Pradesh,RANGA REDDY,2013,80,47,8,37,0,25,1,13,96,173,17,18,9,94,25,626,14,69,23,168,0,182,482,2191,311,280,300,103,43,0.1419443176631675,0.12779552715654952,0.13692377909630304,0.016887266088544045,0.011410314924691922,DATASET_02_2013
Andhra Pradesh,SECUNDERABAD RLY.,2013,7,2,0,0,0,2,0,1,0,737,0,0,1,11,0,10,0,11,0,0,0,2,60,849,11,23,738,12,0,0.012956419316843345,0.027090694935217905,0.8692579505300353,0.0,0.002355712603062426,DATASET_02_2013
Andhra Pradesh,SRIKAKULAM,2013,35,49,1,42,0,26,1,11,190,307,72,22,15,153,31,1124,3,207,129,361,0,319,1814,4841,742,372,581,168,53,0.15327411691799214,0.07684362734972114,0.12001652551125801,0.008675893410452386,0.005370791158851477,DATASET_02_2013
Andhra Pradesh,TIRUPATHI URBAN,2013,26,21,1,10,0,22,0,15,190,827,326,22,3,197,4,565,7,45,31,133,0,200,502,2821,226,140,1358,200,26,0.08011343495214462,0.04962779156327544,0.4813895781637717,0.003544842254519674,0.0077986529599432825,DATASET_02_2013
Andhra Pradesh,VIJAYAWADA CITY,2013,29,55,8,48,0,72,2,66,323,2173,783,6,124,459,24,1955,12,249,456,1227,0,325,1359,8978,1992,529,3347,583,30,0.221875696146135,0.05892180886611718,0.37280017821341055,0.005346402316774337,0.008019603475161506,DATASET_02_2013
Andhra Pradesh,VIJAYAWADA RLY.,2013,6,2,0,1,0,1,3,9,0,625,0,1,1,3,0,11,2,6,5,0,0,0,44,773,14,28,637,4,1,0.018111254851228976,0.03622250970245795,0.8240620957309185,0.00129366106080207,0.00129366106080207,DATASET_02_2013
Andhra Pradesh,VISAKHA RURAL,2013,46,41,1,32,0,30,1,5,132,329,31,46,6,113,27,1137,8,139,79,210,0,302,548,3238,468,295,498,119,73,0.1445336627547869,0.09110562075355158,0.15379864113650402,0.009882643607164917,0.00926497838171711,DATASET_02_2013
Andhra Pradesh,VISAKHAPATNAM,2013,30,50,1,67,0,58,5,26,355,1203,332,9,64,336,21,1356,8,149,100,548,0,379,2009,6775,872,386,1921,400,30,0.12870848708487084,0.05697416974169742,0.28354243542435426,0.00988929889298893,0.008560885608856088,DATASET_02_2013
Andhra Pradesh,VIZIANAGARAM,2013,30,38,2,42,0,25,1,7,180,230,2,30,18,124,13,1609,10,165,95,383,0,289,1624,4918,695,310,420,142,43,0.14131760878405855,0.06303375355835705,0.08540056933712892,0.00854005693371289,0.005083367222448149,DATASET_02_2013
Andhra Pradesh,WARANGAL,2013,52,54,4,52,0,63,1,17,256,327,17,140,3,237,0,1789,20,206,10,129,0,290,1769,5421,417,449,618,240,140,0.07692307692307693,0.08282604685482384,0.1140011068068622,0.009592326139088728,0.01162147205312673,DATASET_02_2013
Andhra Pradesh,WARANGAL URBAN,2013,24,20,2,36,0,56,1,18,197,459,179,51,2,363,20,1442,16,127,81,195,0,198,1131,4440,455,284,854,365,71,0.10247747747747747,0.06396396396396396,0.19234234234234235,0.008108108108108109,0.012612612612612612,DATASET_02_2013
Andhra Pradesh,WEST GODAVARI,2013,85,67,2,123,0,96,5,19,490,1090,311,20,57,446,40,2460,16,342,245,855,0,575,1456,8498,1581,739,1915,503,60,0.18604377500588373,0.08696163803247824,0.22534714050364793,0.014473993880913156,0.01129677571193222,DATASET_02_2013
