,TOTAL IPC CRIMES
TOTAL IPC CRIMES,1.0
OTHER IPC CRIMES,0.8689758262566791
THEFT,0.8044057186784467
BURGLARY,0.8040239394630331
OTHER THEFT,0.7681029166512725
CHEATING,0.7266765057636038
AUTO THEFT,0.7207757521272672
HURT/GREVIOUS HURT,0.7178011056215269
ROBBERY,0.6524924575139966
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0.6462431456252263
CRIMINAL BREACH OF TRUST,0.6182629025292581
CRUELTY BY HUSBAND OR HIS RELATIVES,0.5877410885458337
MURDER,0.5716070779008406
CAUSING DEATH BY NEGLIGENCE,0.566771149735323
COUNTERFIETING,0.5368965015793942
OTHER RAPE,0.5363611661920216
RAPE,0.5363588254079449
KIDNAPPING & ABDUCTION,0.5323852248375996
ATTEMPT TO MURDER,0.5059189666229558
RIOTS,0.49812167284879644
KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0.4775273526110265
KIDNAPPING AND ABDUCTION OF OTHERS,0.44798455008588145
DOWRY DEATHS,0.37479901478679856
PREPARATION AND ASSEMBLY FOR DACOITY,0.3581588200557943
INSULT TO MODESTY OF WOMEN,0.3412049283268353
DACOITY,0.28875469267626175
ARSON,0.2232927295719719
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0.19356728477384558
YEAR,0.06105243283178946
IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0.03381251658315056
CUSTODIAL RAPE,0.026009345464912563
