,count,mean,std,min,25%,50%,75%,max
YEAR,8597.0,2006.6353379085729,3.4640644112982417,2001.0,2004.0,2007.0,2010.0,2012.0
MURDER,8597.0,46.82365941607537,42.755816831471414,0.0,18.0,37.0,63.0,542.0
ATTEMPT TO MURDER,8597.0,40.94184017680586,50.58987657548495,0.0,10.0,27.0,54.0,741.0
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,8597.0,5.1894847039664995,9.948005413404394,0.0,0.0,2.0,5.0,241.0
RAPE,8597.0,27.816331278352912,30.897865696417043,0.0,8.0,19.0,39.0,568.0
CUSTODIAL RAPE,8597.0,0.0030243108060951495,0.07920128852564853,0.0,0.0,0.0,0.0,5.0
OTHER RAPE,8597.0,27.81330696754682,30.893890205570465,0.0,8.0,19.0,39.0,568.0
KIDNAPPING & ABDUCTION,8597.0,41.509480051180645,56.06215232146216,0.0,9.0,24.0,52.0,587.0
KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,8597.0,30.697568919390484,42.502686088152736,0.0,6.0,17.0,39.0,492.0
KIDNAPPING AND ABDUCTION OF OTHERS,8597.0,10.81191113179016,21.3187405685697,0.0,1.0,5.0,12.0,484.0
DACOITY,8597.0,6.910433872281028,10.945606845812025,0.0,1.0,3.0,9.0,219.0
PREPARATION AND ASSEMBLY FOR DACOITY,8597.0,3.715365825287891,15.282459600760252,0.0,0.0,0.0,2.0,470.0
ROBBERY,8597.0,28.878329649877866,50.93736371692825,0.0,6.0,16.0,34.0,1131.0
BURGLARY,8597.0,129.96847737582877,195.3962489326457,0.0,29.0,79.0,164.0,3175.0
THEFT,8597.0,407.1804117715482,778.7708506546577,0.0,86.0,206.0,430.0,13195.0
AUTO THEFT,8597.0,147.7689891822729,370.8449514793911,0.0,11.0,45.0,127.0,7074.0
OTHER THEFT,8597.0,259.41142258927533,467.58275381550754,0.0,62.0,145.0,291.0,9028.0
RIOTS,8597.0,90.13923461672677,137.59224171783964,0.0,10.0,44.0,116.0,3181.0
CRIMINAL BREACH OF TRUST,8597.0,21.40525764801675,36.90531897857624,0.0,3.0,11.0,25.0,589.0
CHEATING,8597.0,89.28661160870071,183.97321416607141,0.0,12.0,35.0,93.0,3155.0
COUNTERFIETING,8597.0,3.107828312201931,8.116194932981644,0.0,0.0,1.0,3.0,170.0
ARSON,8597.0,13.226009072932419,30.415131992395736,0.0,2.0,8.0,18.0,2350.0
HURT/GREVIOUS HURT,8597.0,392.2154239851111,559.5832698575475,0.0,40.0,191.0,490.0,4837.0
DOWRY DEATHS,8597.0,10.608584389903454,14.186600806631668,0.0,1.0,5.0,15.0,168.0
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8597.0,52.71082935907875,64.91222652452808,0.0,9.0,30.0,71.0,621.0
INSULT TO MODESTY OF WOMEN,8597.0,14.429917413051065,43.144466358307284,0.0,0.0,2.0,12.0,1257.0
CRUELTY BY HUSBAND OR HIS RELATIVES,8597.0,101.80307083866465,180.0739422084975,0.0,11.0,46.0,126.0,3035.0
IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,8597.0,0.10375712457834128,1.433148440951361,0.0,0.0,0.0,0.0,60.0
CAUSING DEATH BY NEGLIGENCE,8597.0,116.53646620914273,155.59083634584005,0.0,5.0,65.0,166.0,2058.0
OTHER IPC CRIMES,8597.0,1140.2616028847272,1438.8193522035258,0.0,255.0,715.0,1528.0,32452.0
TOTAL IPC CRIMES,8597.0,2784.768407584041,3068.017393275665,0.0,835.0,2011.0,3789.0,34638.0
