,0
ARSON,53.712803931096985
CUSTODIAL RAPE,41.10655608322367
IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,24.38166384148633
PREPARATION AND ASSEMBLY FOR DACOITY,14.131681631959337
INSULT TO MODESTY OF WOMEN,11.139151476112795
COUNTERFIETING,9.666998260226976
OTHER THEFT,9.006223972094661
ROBBERY,8.125684760696572
THEFT,7.870754527499304
CHEATING,6.955542576835272
AUTO THEFT,6.9537144760832215
KIDNAPPING AND ABDUCTION OF OTHERS,6.923686811337701
CRUELTY BY HUSBAND OR HIS RELATIVES,6.590887223224128
BURGLARY,6.274201154325455
CRIMINAL BREACH OF TRUST,6.265442587261655
RIOTS,5.667655780128282
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,5.626190379943719
OTHER IPC CRIMES,4.386292405624046
DACOITY,4.260329002359316
ATTEMPT TO MURDER,4.146168318595735
KIDNAPPING & ABDUCTION,3.8100835709923655
OTHER RAPE,3.719723739007235
RAPE,3.7195101179096706
TOTAL IPC CRIMES,3.5883328584808774
KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,3.5514661801703094
HURT/GREVIOUS HURT,2.8909144199581753
CAUSING DEATH BY NEGLIGENCE,2.6508656596576285
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2.45342588417901
DOWRY DEATHS,2.3450880442990227
MURDER,2.3278418420327753
YEAR,-0.04663511038870399
