STATE/UT,DISTRICT,YEAR,TOTAL IPC CRIMES,RAPE,KIDNAPPING & ABDUCTION,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES
KERALA,ERNAKULAM RURAL,2011,34638,30,12,0,105,136
MAHARASHTRA,MUMBAI COMMR.,2010,33932,194,194,21,475,312
MAHARASHTRA,MUMBAI COMMR.,2008,32770,218,189,11,436,502
MAHARASHTRA,MUMBAI COMMR.,2011,32647,221,221,14,553,393
KARNATAKA,BANGALORE COMMR.,2009,32380,65,270,50,251,367
KARNATAKA,BANGALORE COMMR.,2010,32188,65,513,52,308,398
MAHARASHTRA,MUMBAI,2005,31432,201,198,9,385,336
MAHARASHTRA,MUMBAI COMMR.,2009,31262,182,149,15,400,434
MAHARASHTRA,MUMBAI COMMR.,2006,31070,165,190,17,357,327
MAHARASHTRA,MUMBAI COMMR.,2012,30508,232,212,11,614,388
MAHARASHTRA,MUMBAI COMMR.,2007,30481,174,179,17,365,380
KARNATAKA,BANGALORE COMMR.,2011,30283,97,573,53,250,458
KARNATAKA,BANGALORE COMMR.,2008,29664,54,159,52,179,307
MAHARASHTRA,MUMBAI,2004,29453,187,178,13,321,248
KARNATAKA,BANGALORE COMMR.,2012,29297,90,532,51,321,524
KARNATAKA,BANGALORE COMMR.,2003,29260,34,132,34,213,213
KARNATAKA,BANGALORE COMMR.,2002,29120,32,159,33,237,242
KARNATAKA,BANGALORE COMMR.,2005,29042,38,131,39,167,287
MAHARASHTRA,MUMBAI,2001,28968,127,148,18,274,198
KARNATAKA,BANGALORE COMMR.,2004,28526,32,175,44,151,227
