,0
CUSTODIAL RAPE,99.77899267186228
IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,97.97603815284401
PREPARATION AND ASSEMBLY FOR DACOITY,56.496452250785154
INSULT TO MODESTY OF WOMEN,42.700942189135745
COUNTERFIETING,40.37454926137025
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,34.09328835640339
DOWRY DEATHS,24.229382342677678
DACOITY,22.531115505408863
ARSON,17.564266604629523
KIDNAPPING AND ABDUCTION OF OTHERS,17.51773874607421
CAUSING DEATH BY NEGLIGENCE,16.017215307665463
CRUELTY BY HUSBAND OR HIS RELATIVES,12.190298941491218
RIOTS,10.875886937303711
CRIMINAL BREACH OF TRUST,9.945329766197512
KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,9.456787251366757
AUTO THEFT,8.968244736536
ROBBERY,6.897755030824706
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6.467372339188089
RAPE,5.676398743747819
OTHER RAPE,5.676398743747819
ATTEMPT TO MURDER,5.525183203443061
KIDNAPPING & ABDUCTION,5.036640688612307
HURT/GREVIOUS HURT,4.408514598115622
CHEATING,3.5593811794812145
BURGLARY,3.5361172502035596
MURDER,2.0472257764336397
OTHER THEFT,0.9538211003838549
THEFT,0.8258694893567524
OTHER IPC CRIMES,0.4885425148307549
TOTAL IPC CRIMES,0.023263929277655
YEAR,0.0
