STATE/UT,0,1
A & N ISLANDS,19,5
ANDHRA PRADESH,36,322
ARUNACHAL PRADESH,182,1
ASSAM,60,290
BIHAR,56,472
CHANDIGARH,0,12
CHHATTISGARH,46,208
D & N HAVELI,12,0
DAMAN & DIU,24,0
DELHI UT,52,119
GOA,0,24
GUJARAT,46,326
HARYANA,10,246
HIMACHAL PRADESH,54,110
JAMMU & KASHMIR,127,183
JHARKHAND,61,239
KARNATAKA,12,375
KERALA,19,202
LAKSHADWEEP,12,0
MADHYA PRADESH,41,575
MAHARASHTRA,36,504
MANIPUR,82,31
MEGHALAYA,73,11
MIZORAM,91,5
NAGALAND,126,0
ODISHA,51,367
PUDUCHERRY,6,13
PUNJAB,44,258
RAJASTHAN,20,422
SIKKIM,48,0
TAMIL NADU,24,433
TRIPURA,10,45
UTTAR PRADESH,36,830
UTTARAKHAND,106,50
WEST BENGAL,49,248
