,TOTAL IPC CRIMES
TOTAL IPC CRIMES,1.0
PROPERTY_CRIME,0.8314284423456858
VIOLENT_CRIME,0.8007063154193286
ECONOMIC_OFFENCES,0.7553985691642019
WOMEN_CRIME_TOTAL,0.7143420919153602
WOMEN_VIOLENCE,0.7029157809185158
SERIOUS_VIOLENT_CRIME,0.6810238768034917
PUBLIC_ORDER_CRIME,0.49485622163778753
YEAR_NORMALIZED,0.06105243283179722
THEFT_SHARE,-0.019915069195292956
VIOLENT_CRIME_SHARE,-0.0526460230358308
WOMEN_CRIME_SHARE,-0.056509682533555455
PROPERTY_CRIME_SHARE,-0.0619640474101532
BURGLARY_SHARE,-0.07948141711718984
ROBBERY_SHARE,-0.11440740518929196
KIDNAPPING_RATE_PROXY,-0.17585576069826273
RAPE_RATE_PROXY,-0.23986203995661598
MURDER_SHARE,-0.3123495781496605
