RECORD_ID,STATE/UT,DISTRICT,YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED
ANDHRA_PRADESH_ADILABAD_2001_1,ANDHRA PRADESH,ADILABAD,2001,470,436,0.012033694344163659,0.011070998796630566,1428,447,121,108,0.3436823104693141,0.10758122743682311,0.02430806257521059,0.009867629362214199,0.0
ANDHRA_PRADESH_ANANTAPUR_2001_1,ANDHRA PRADESH,ANANTAPUR,2001,379,355,0.005574406204556471,0.012845370819195347,2004,581,84,237,0.4857004362578769,0.14081434803683957,0.036597188560349006,0.003877847794474067,0.0
ANDHRA_PRADESH_CHITTOOR_2001_1,ANDHRA PRADESH,CHITTOOR,2001,481,398,0.004639972503866644,0.010139199175116,2418,978,251,194,0.4155353153462794,0.16807011514005843,0.017356934181130778,0.002405911668671593,0.0
ANDHRA_PRADESH_CUDDAPAH_2001_1,ANDHRA PRADESH,CUDDAPAH,2001,283,245,0.006367398917542184,0.00795924864692773,1097,276,51,187,0.3492518306271888,0.08787010506208214,0.025469595670168738,0.0012734797835084368,0.0
ANDHRA_PRADESH_EAST_GODAVARI_2001_1,ANDHRA PRADESH,EAST GODAVARI,2001,498,440,0.0035341118623232943,0.00752919483712354,1489,1487,273,111,0.22879532882606024,0.2284880147510756,0.012599877074370006,0.0038414259373079286,0.0
ANDHRA_PRADESH_GUNTAKAL_RLY._2001_1,ANDHRA PRADESH,GUNTAKAL RLY.,2001,1,1,0.0,0.0,8,169,3,1,0.027777777777777776,0.5868055555555556,0.010416666666666666,0.006944444444444444,0.0
ANDHRA_PRADESH_GUNTUR_2001_1,ANDHRA PRADESH,GUNTUR,2001,789,660,0.006879857306663269,0.010447190724933112,2367,1535,375,287,0.30156707860874,0.19556631418015033,0.023187667218753982,0.007516881131354312,0.0
ANDHRA_PRADESH_HYDERABAD_CITY_2001_1,ANDHRA PRADESH,HYDERABAD CITY,2001,1032,1005,0.0031271129141311697,0.0067613252197430695,3500,4027,1418,65,0.29580797836375927,0.3403482082488168,0.009381338742393509,0.005662609871534821,0.0
ANDHRA_PRADESH_KARIMNAGAR_2001_1,ANDHRA PRADESH,KARIMNAGAR,2001,904,823,0.009635237439779766,0.011527873365450792,1915,687,273,253,0.32949070887818305,0.11820371644872678,0.027873365450791467,0.008602890571231933,0.0
ANDHRA_PRADESH_KHAMMAM_2001_1,ANDHRA PRADESH,KHAMMAM,2001,793,457,0.010255291293912285,0.008946105171285185,1346,554,170,226,0.29369408684267945,0.12088151865590224,0.02029238490072005,0.002836569932358717,0.0
ANDHRA_PRADESH_KRISHNA_2001_1,ANDHRA PRADESH,KRISHNA,2001,628,556,0.007740585774058577,0.007531380753138075,2186,659,129,132,0.45732217573221756,0.13786610878661087,0.013598326359832637,0.0031380753138075313,0.0
ANDHRA_PRADESH_KURNOOL_2001_1,ANDHRA PRADESH,KURNOOL,2001,429,322,0.006329113924050633,0.010257529463116543,1862,480,134,89,0.4063727629855958,0.10475774770842426,0.029026625927542557,0.004801396769969445,0.0
ANDHRA_PRADESH_MAHABOOBNAGAR_2001_1,ANDHRA PRADESH,MAHABOOBNAGAR,2001,401,360,0.012240663900414938,0.008713692946058092,1301,600,106,157,0.26991701244813276,0.12448132780082988,0.03257261410788382,0.0056016597510373444,0.0
ANDHRA_PRADESH_MEDAK_2001_1,ANDHRA PRADESH,MEDAK,2001,404,379,0.009906594961788848,0.00735918482875743,1662,558,108,137,0.47042173789980185,0.15793942824794793,0.028587602604019248,0.00735918482875743,0.0
ANDHRA_PRADESH_NALGONDA_2001_1,ANDHRA PRADESH,NALGONDA,2001,554,495,0.006995802518488907,0.005396761942834299,1563,485,143,292,0.3124125524685189,0.09694183489906057,0.02438536877873276,0.0055966420147911256,0.0
