STATE/UT,DISTRICT,YEAR,NEXT_YEAR,NEXT_YEAR_WOMEN_CRIME_SHARE,PREDICTED_NEXT_YEAR_WOMEN_CRIME_SHARE,ERROR,ABSOLUTE_ERROR
ASSAM,KOKRAJHAR,2011,2012,0.0366873065015479,0.2493058949051083,0.2126185884035604,0.2126185884035604
ODISHA,KHURDA,2011,2012,0.3320713899405084,0.1325971055445374,-0.19947428439597098,0.19947428439597098
ASSAM,R.P.O.,2011,2012,0.0792079207920792,0.2329596687038392,0.15375174791176,0.15375174791176
ODISHA,KEONJHAR,2011,2012,0.2551834130781499,0.1136574979421909,-0.141525915135959,0.141525915135959
KERALA,RAILWAYS,2011,2012,0.1776504297994269,0.0391796095535815,-0.13847082024584542,0.13847082024584542
ASSAM,DARRANG,2011,2012,0.3531441717791411,0.2148116686503976,-0.13833250312874348,0.13833250312874348
JAMMU & KASHMIR,BANDIPORA,2011,2012,0.2565055762081784,0.1189290399523889,-0.13757653625578947,0.13757653625578947
UTTARAKHAND,PITHORAGARH,2011,2012,0.0865384615384615,0.2218375973668497,0.1352991358283882,0.1352991358283882
ANDHRA PRADESH,VIJAYAWADA CITY,2011,2012,0.2479510862495121,0.1170048293903605,-0.1309462568591516,0.1309462568591516
MIZORAM,MAMIT,2011,2012,0.1728395061728395,0.0476712279259505,-0.125168278246889,0.125168278246889
MIZORAM,SERCHHIP,2011,2012,0.1927710843373494,0.0744229471300483,-0.11834813720730111,0.11834813720730111
JAMMU & KASHMIR,HANDWARA,2011,2012,0.2774327122153209,0.1635902698024228,-0.11384244241289809,0.11384244241289809
MANIPUR,SENAPATI,2011,2012,0.1412429378531073,0.0283180639672067,-0.11292487388590058,0.11292487388590058
JAMMU & KASHMIR,KULGAM,2011,2012,0.2603092783505155,0.1478297741800176,-0.11247950417049787,0.11247950417049787
ASSAM,LAKHIMPUR,2011,2012,0.1188420518029456,0.2301562473498124,0.1113141955468668,0.1113141955468668
TRIPURA,DHALAI,2011,2012,0.3085585585585585,0.1976190072652364,-0.11093955129332211,0.11093955129332211
DELHI UT,STF,2011,2012,0.0,-0.110265102812378,-0.110265102812378,0.110265102812378
GUJARAT,CID CRIME,2011,2012,0.0625,-0.0427323889824843,-0.1052323889824843,0.1052323889824843
MANIPUR,TAMENGLONG,2011,2012,0.1081081081081081,0.0032720068190182,-0.1048361012890899,0.1048361012890899
DELHI UT,NORTH-EAST,2011,2012,0.1666666666666666,0.2711838183961651,0.10451715172949852,0.10451715172949852
