STATE/UT,DISTRICT,YEAR,NEXT_YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,WOMEN_CRIME_SHARE,VIOLENT_CRIME,SERIOUS_VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,TOTAL IPC CRIMES,YEAR_NORMALIZED,NEXT_YEAR_WOMEN_CRIME_SHARE
A & N ISLANDS,ANDAMAN,2001,2002,33,32,0.0047021943573667,0.0031347962382445,0.0517241379310344,143,17,131,20,17,0.2241379310344827,0.2053291536050156,0.0203761755485893,0.006269592476489,637,0.0,0.0447504302925989
A & N ISLANDS,NICOBAR,2001,2002,1,1,0.0,0.0,0.0454545454545454,5,0,2,0,0,0.2272727272727272,0.0909090909090909,0.0,0.0,21,0.0,0.0689655172413793
ANDHRA PRADESH,ADILABAD,2001,2002,470,436,0.0120336943441636,0.0110709987966305,0.1131167268351383,1428,219,447,121,108,0.3436823104693141,0.1075812274368231,0.0243080625752105,0.0098676293622141,4154,0.0,0.1231822070145423
ANDHRA PRADESH,ANANTAPUR,2001,2002,379,355,0.0055744062045564,0.0128453708191953,0.0918565196316044,2004,293,581,84,237,0.4857004362578769,0.1408143480368395,0.036597188560349,0.003877847794474,4125,0.0,0.1049686660698299
ANDHRA PRADESH,CHITTOOR,2001,2002,481,398,0.0046399725038666,0.010139199175116,0.0826602509022168,2418,174,978,251,194,0.4155353153462794,0.1680701151400584,0.0173569341811307,0.0024059116686715,5818,0.0,0.0737276042492468
ANDHRA PRADESH,CUDDAPAH,2001,2002,283,245,0.0063673989175421,0.0079592486469277,0.0900986946832219,1097,138,276,51,187,0.3492518306271888,0.0878701050620821,0.0254695956701687,0.0012734797835084,3140,0.0,0.0790977443609022
ANDHRA PRADESH,EAST GODAVARI,2001,2002,498,440,0.0035341118623232,0.0075291948371235,0.0765212046711739,1489,175,1487,273,111,0.2287953288260602,0.2284880147510756,0.01259987707437,0.0038414259373079,6507,0.0,0.0690872415532022
ANDHRA PRADESH,GUNTAKAL RLY.,2001,2002,1,1,0.0,0.0,0.0034722222222222,8,6,169,3,1,0.0277777777777777,0.5868055555555556,0.0104166666666666,0.0069444444444444,287,0.0,0.0128617363344051
ANDHRA PRADESH,GUNTUR,2001,2002,789,660,0.0068798573066632,0.0104471907249331,0.1005223595362466,2367,331,1535,375,287,0.30156707860874,0.1955663141801503,0.0231876672187539,0.0075168811313543,7848,0.0,0.1079401319127346
ANDHRA PRADESH,HYDERABAD CITY,2001,2002,1032,1005,0.0031271129141311,0.006761325219743,0.0872210953346856,3500,298,4027,1418,65,0.2958079783637592,0.3403482082488168,0.0093813387423935,0.0056626098715348,11831,0.0,0.0726377133342583
ANDHRA PRADESH,KARIMNAGAR,2001,2002,904,823,0.0096352374397797,0.0115278733654507,0.1555402615278733,1915,303,687,273,253,0.329490708878183,0.1182037164487267,0.0278733654507914,0.0086028905712319,5811,0.0,0.1265697756455482
ANDHRA PRADESH,KHAMMAM,2001,2002,793,457,0.0102552912939122,0.0089461051712851,0.1730307658738817,1346,167,554,170,226,0.2936940868426794,0.1208815186559022,0.02029238490072,0.0028365699323587,4582,0.0,0.1808039667079865
ANDHRA PRADESH,KRISHNA,2001,2002,628,556,0.0077405857740585,0.007531380753138,0.1313807531380753,2186,131,659,129,132,0.4573221757322175,0.1378661087866108,0.0135983263598326,0.0031380753138075,4779,0.0,0.1458920849783793
ANDHRA PRADESH,KURNOOL,2001,2002,429,322,0.0063291139240506,0.0102575294631165,0.0936272370144041,1862,231,480,134,89,0.4063727629855958,0.1047577477084242,0.0290266259275425,0.0048013967699694,4581,0.0,0.1191035218783351
