STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,RECORD_ID,RECORD_OCCURRENCE,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,WOMEN_CRIME_SHARE,VIOLENT_CRIME,SERIOUS_VIOLENT_CRIME,PROPERTY_CRIME,THEFT_SHARE,BURGLARY_SHARE,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED,TEMPORAL_KEY,NEXT_YEAR_WOMEN_CRIME_TOTAL,NEXT_YEAR_WOMEN_CRIME_SHARE,NEXT_YEAR_TOTAL_IPC_CRIMES,NEXT_YEAR,WOMEN_CRIME_CHANGE,WOMEN_CRIME_CHANGE_PCT,WOMEN_SHARE_CHANGE,TOTAL_IPC_CHANGE
A & N ISLANDS,ANDAMAN,2001,13,0,0,3,0,3,2,2,0,0,0,4,62,65,4,61,13,10,8,2,4,113,0,18,1,9,0,0,310,637,A_&_N_ISLANDS_ANDAMAN_2001_1,1,33,32,0.0047021943573667,0.0031347962382445,0.0517241379310344,143,17,131,0.1018808777429467,0.0971786833855799,20,17,0.2241379310344827,0.2053291536050156,0.0203761755485893,0.006269592476489,0.0,"('A & N ISLANDS', 'ANDAMAN', 2001)",26,0.0447504302925989,580,2002,-7,-21.21212121212121,-0.0069737076384355015,-57
A & N ISLANDS,NICOBAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,13,21,A_&_N_ISLANDS_NICOBAR_2001_1,1,1,1,0.0,0.0,0.0454545454545454,5,0,2,0.0,0.0909090909090909,0,0,0.2272727272727272,0.0909090909090909,0.0,0.0,0.0,"('A & N ISLANDS', 'NICOBAR', 2001)",2,0.0689655172413793,28,2002,1,100.0,0.023510971786833895,7
ANDHRA PRADESH,ADILABAD,2001,101,60,17,50,0,50,46,30,16,9,0,41,198,199,22,177,78,16,104,1,30,1131,16,149,34,175,0,181,1518,4154,ANDHRA_PRADESH_ADILABAD_2001_1,1,470,436,0.0120336943441636,0.0110709987966305,0.1131167268351383,1428,219,447,0.0478941034897713,0.047653429602888,121,108,0.3436823104693141,0.1075812274368231,0.0243080625752105,0.0098676293622141,0.0,"('ANDHRA PRADESH', 'ADILABAD', 2001)",576,0.1231822070145423,4675,2002,106,22.5531914893617,0.010065480179403993,521
ANDHRA PRADESH,ANANTAPUR,2001,151,125,1,23,0,23,53,30,23,8,0,16,191,366,57,309,168,11,65,8,69,1543,7,118,24,154,0,270,754,4125,ANDHRA_PRADESH_ANANTAPUR_2001_1,1,379,355,0.0055744062045564,0.0128453708191953,0.0918565196316044,2004,293,581,0.0887057682985942,0.0462918080465341,84,237,0.4857004362578769,0.1408143480368395,0.036597188560349,0.003877847794474,0.0,"('ANDHRA PRADESH', 'ANANTAPUR', 2001)",469,0.1049686660698299,4467,2002,90,23.7467018469657,0.013112146438225489,342
ANDHRA PRADESH,CHITTOOR,2001,101,57,2,27,0,27,59,34,25,4,0,14,237,723,164,559,156,33,209,9,38,2088,14,112,83,186,0,404,1262,5818,ANDHRA_PRADESH_CHITTOOR_2001_1,1,481,398,0.0046399725038666,0.010139199175116,0.0826602509022168,2418,174,978,0.1242481526035401,0.0407286475339405,251,194,0.4155353153462794,0.1680701151400584,0.0173569341811307,0.0024059116686715,0.0,"('ANDHRA PRADESH', 'CHITTOOR', 2001)",465,0.0737276042492468,6306,2002,-16,-3.3264033264033266,-0.00893264665297,488
ANDHRA PRADESH,CUDDAPAH,2001,80,53,1,20,0,20,25,20,5,1,0,4,98,173,36,137,164,12,37,2,23,795,17,126,38,57,0,233,1181,3140,ANDHRA_PRADESH_CUDDAPAH_2001_1,1,283,245,0.0063673989175421,0.0079592486469277,0.0900986946832219,1097,138,276,0.0550780006367398,0.0312002546959567,51,187,0.3492518306271888,0.0878701050620821,0.0254695956701687,0.0012734797835084,0.0,"('ANDHRA PRADESH', 'CUDDAPAH', 2001)",263,0.0790977443609022,3324,2002,-20,-7.06713780918728,-0.011000950322319708,184
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,1,23,0,23,49,26,23,4,0,25,437,1021,150,871,70,50,220,3,41,1244,12,109,58,247,0,431,2313,6507,ANDHRA_PRADESH_EAST_GODAVARI_2001_1,1,498,440,0.0035341118623232,0.0075291948371235,0.0765212046711739,1489,175,1487,0.1568838352796558,0.0671481253841426,273,111,0.2287953288260602,0.2284880147510756,0.01259987707437,0.0038414259373079,0.0,"('ANDHRA PRADESH', 'EAST GODAVARI', 2001)",548,0.0690872415532022,7931,2002,50,10.040160642570282,-0.007433963117971704,1424
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1,0,0,0,0,0,0,0,5,0,2,0,162,0,162,1,0,0,3,0,1,0,1,0,0,0,4,104,287,ANDHRA_PRADESH_GUNTAKAL_RLY._2001_1,1,1,1,0.0,0.0,0.0034722222222222,8,6,169,0.5625,0.0,3,1,0.0277777777777777,0.5868055555555556,0.0104166666666666,0.0069444444444444,0.0,"('ANDHRA PRADESH', 'GUNTAKAL RLY.', 2001)",4,0.0128617363344051,310,2002,3,300.0,0.0093895141121829,23
ANDHRA PRADESH,GUNTUR,2001,182,88,2,54,0,54,82,51,31,16,3,59,338,1122,171,951,244,67,300,8,43,1792,7,139,129,378,0,369,2426,7848,ANDHRA_PRADESH_GUNTUR_2001_1,1,789,660,0.0068798573066632,0.0104471907249331,0.1005223595362466,2367,331,1535,0.1429481462606701,0.0430628105491145,375,287,0.30156707860874,0.1955663141801503,0.0231876672187539,0.0075168811313543,0.0,"('ANDHRA PRADESH', 'GUNTUR', 2001)",851,0.1079401319127346,7883,2002,62,7.858048162230672,0.0074177723764880105,35
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,7,37,0,37,80,39,41,13,0,67,1155,2792,1128,1664,65,101,1293,24,0,3137,24,118,27,746,0,409,1512,11831,ANDHRA_PRADESH_HYDERABAD_CITY_2001_1,1,1032,1005,0.0031271129141311,0.006761325219743,0.0872210953346856,3500,298,4027,0.2359702501690331,0.0976166328600405,1418,65,0.2958079783637592,0.3403482082488168,0.0093813387423935,0.0056626098715348,0.0,"('ANDHRA PRADESH', 'HYDERABAD CITY', 2001)",1047,0.0726377133342583,14413,2002,15,1.4534883720930232,-0.014583382000427303,2582
