CRIME_STATE,CRIME_DISTRICT,TOTAL_IPC,CANDIDATE_RANK,GIS_STATE,GIS_DISTRICT,SIMILARITY_SCORE
Andhra Pradesh,Cuddapah,5803,1,Andhra Pradesh,East Godavari,28.57
Andhra Pradesh,Cuddapah,5803,2,Andhra Pradesh,West Godavari,28.57
Andhra Pradesh,Cuddapah,5803,3,Andhra Pradesh,Visakhapatanam,27.27
Andhra Pradesh,Guntakal Railway,490,1,Andhra Pradesh,Guntur,45.45
Andhra Pradesh,Guntakal Railway,490,2,Andhra Pradesh,East Godavari,34.48
Andhra Pradesh,Guntakal Railway,490,3,Andhra Pradesh,West Godavari,34.48
Andhra Pradesh,Guntur Urban,5798,1,Andhra Pradesh,Guntur,66.67
Andhra Pradesh,Guntur Urban,5798,2,Andhra Pradesh,Anantapur,38.1
Andhra Pradesh,Guntur Urban,5798,3,Andhra Pradesh,Kurnool,31.58
Andhra Pradesh,Nellore,8175,1,Andhra Pradesh,Spsr Nellore,73.68
Andhra Pradesh,Nellore,8175,2,Andhra Pradesh,Guntur,30.77
Andhra Pradesh,Nellore,8175,3,Andhra Pradesh,East Godavari,30.0
Andhra Pradesh,Prakasham,6367,1,Andhra Pradesh,Prakasam,94.12
Andhra Pradesh,Prakasham,6367,2,Andhra Pradesh,Srikakulam,52.63
Andhra Pradesh,Prakasham,6367,3,Andhra Pradesh,Krishna,50.0
Andhra Pradesh,Rajahmundry,2430,1,Andhra Pradesh,Prakasam,42.11
Andhra Pradesh,Rajahmundry,2430,2,Andhra Pradesh,Srikakulam,38.1
Andhra Pradesh,Rajahmundry,2430,3,Andhra Pradesh,Guntur,35.29
Andhra Pradesh,Tirupathi Urban,3651,1,Andhra Pradesh,Visakhapatanam,41.38
Andhra Pradesh,Tirupathi Urban,3651,2,Andhra Pradesh,Anantapur,33.33
Andhra Pradesh,Tirupathi Urban,3651,3,Andhra Pradesh,Vizianagaram,29.63
Andhra Pradesh,Vijayawada City,7876,1,Andhra Pradesh,Vizianagaram,44.44
Andhra Pradesh,Vijayawada City,7876,2,Andhra Pradesh,Visakhapatanam,41.38
Andhra Pradesh,Vijayawada City,7876,3,Andhra Pradesh,East Godavari,28.57
Andhra Pradesh,Vijayawada Railway,1223,1,Andhra Pradesh,Vizianagaram,46.67
Andhra Pradesh,Vijayawada Railway,1223,2,Andhra Pradesh,Visakhapatanam,43.75
Andhra Pradesh,Vijayawada Railway,1223,3,Andhra Pradesh,East Godavari,32.26
Andhra Pradesh,Visakha Rural,3028,1,Andhra Pradesh,Visakhapatanam,59.26
Andhra Pradesh,Visakha Rural,3028,2,Andhra Pradesh,Vizianagaram,48.0
Andhra Pradesh,Visakha Rural,3028,3,Andhra Pradesh,Kurnool,40.0
Andhra Pradesh,Visakhapatnam,7728,1,Andhra Pradesh,Visakhapatanam,96.3
Andhra Pradesh,Visakhapatnam,7728,2,Andhra Pradesh,Krishna,50.0
Andhra Pradesh,Visakhapatnam,7728,3,Andhra Pradesh,Vizianagaram,48.0
Assam,Baska,853,1,Assam,Baksa,80.0
Assam,Baska,853,2,Assam,Barpeta,50.0
Assam,Baska,853,3,Assam,Sivasagar,42.86
Assam,G. R. P.,319,1,Assam,Kamrup,36.36
Assam,G. R. P.,319,2,Assam,Barpeta,33.33
Assam,G. R. P.,319,3,Assam,Goalpara,30.77
Assam,Guwahati City,12216,1,Assam,Golaghat,47.62
Assam,Guwahati City,12216,2,Assam,Biswanath,36.36
Assam,Guwahati City,12216,3,Assam,Hailakandi,34.78
Assam,Morigaon,2557,1,Assam,Marigaon,87.5
Assam,Morigaon,2557,2,Assam,Bongaigaon,66.67
Assam,Morigaon,2557,3,Assam,Karimganj,58.82
Assam,N. C. Hills,299,1,Assam,Chirang,37.5
Assam,N. C. Hills,299,2,Assam,Charaideo,33.33
Assam,N. C. Hills,299,3,Assam,Hailakandi,31.58
Assam,Sibsagar,4236,1,Assam,Sivasagar,82.35
Assam,Sibsagar,4236,2,Assam,Dibrugarh,58.82
Assam,Sibsagar,4236,3,Assam,Baksa,46.15
Bihar,Anti Terrorist Squad,0,1,Bihar,Araria,38.46
Bihar,Anti Terrorist Squad,0,2,Bihar,Kaimur (Bhabua),30.3
Bihar,Anti Terrorist Squad,0,3,Bihar,Katihar,29.63
Bihar,Bagaha,1860,1,Bihar,Gaya,60.0
Bihar,Bagaha,1860,2,Bihar,Khagaria,57.14
Bihar,Bagaha,1860,3,Bihar,Banka,54.55
Bihar,Bettiah,4712,1,Bihar,Katihar,42.86
Bihar,Bettiah,4712,2,Bihar,Begusarai,37.5
Bihar,Bettiah,4712,3,Bihar,Sheikhpura,35.29
Bihar,Bhabhua,2267,1,Bihar,Kaimur (Bhabua),60.0
Bihar,Bhabhua,2267,2,Bihar,Banka,50.0
Bihar,Bhabhua,2267,3,Bihar,Bhagalpur,50.0
Bihar,Economic Offences Unit,11,1,Bihar,Madhubani,25.81
Bihar,Economic Offences Unit,11,2,Bihar,Muzaffarpur,24.24
Bihar,Economic Offences Unit,11,3,Bihar,Munger,21.43
Bihar,Jamalpur Railway,298,1,Bihar,Kaimur (Bhabua),48.28
Bihar,Jamalpur Railway,298,2,Bihar,Bhagalpur,48.0
Bihar,Jamalpur Railway,298,3,Bihar,Madhepura,48.0
Bihar,Katihar Railway,313,1,Bihar,Katihar,63.64
Bihar,Katihar Railway,313,2,Bihar,Saharsa,45.45
Bihar,Katihar Railway,313,3,Bihar,Khagaria,43.48
Bihar,Motihari,9490,1,Bihar,Katihar,66.67
Bihar,Motihari,9490,2,Bihar,Sheohar,53.33
Bihar,Motihari,9490,3,Bihar,Khagaria,50.0
Bihar,Muzaffarpur Railway,596,1,Bihar,Muzaffarpur,73.33
Bihar,Muzaffarpur Railway,596,2,Bihar,Madhepura,42.86
