STATE_UT,TOTAL_RECORDS,GIS_MATCHED,GIS_UNMATCHED,MATCH_PERCENT
A&N Islands,3,0,3,0.0
Arunachal Pradesh,19,0,19,0.0
D&N Haveli,1,0,1,0.0
Daman & Diu,2,0,2,0.0
Delhi UT,19,0,19,0.0
Lakshadweep,1,0,1,0.0
Sikkim,5,0,5,0.0
Meghalaya,11,1,10,9.090909090909092
Kerala,21,6,15,28.57142857142857
Tripura,9,3,6,33.33333333333333
West Bengal,30,11,19,36.666666666666664
Andhra Pradesh,20,9,11,45.0
Puducherry,2,1,1,50.0
Karnataka,36,19,17,52.77777777777778
Punjab,28,15,13,53.57142857142857
Tamil Nadu,42,23,19,54.761904761904766
Gujarat,41,23,18,56.09756097560976
Maharashtra,46,27,19,58.69565217391305
Odisha,36,22,14,61.111111111111114
Telangana,13,8,5,61.53846153846154
Chhattisgarh,28,18,10,64.28571428571429
Goa,3,2,1,66.66666666666666
Jammu & Kashmir,30,20,10,66.66666666666666
Haryana,24,16,8,66.66666666666666
Rajasthan,42,29,13,69.04761904761905
Bihar,46,33,13,71.73913043478261
Himachal Pradesh,15,11,4,73.33333333333333
Jharkhand,26,20,6,76.92307692307693
Assam,28,22,6,78.57142857142857
Uttar Pradesh,76,62,14,81.57894736842105
Uttarakhand,13,11,2,84.61538461538461
Madhya Pradesh,55,47,8,85.45454545454545
Mizoram,9,8,1,88.88888888888889
Manipur,10,9,1,90.0
Nagaland,11,11,0,100.0
Chandigarh,1,1,0,100.0
