STATE_UT,DISTRICT,YEAR,TOTAL_IPC
Andhra Pradesh,Anantapur,2014,8376
Andhra Pradesh,Chittoor,2014,5374
Andhra Pradesh,East Godavari,2014,7630
Andhra Pradesh,Guntur,2014,6897
Andhra Pradesh,Krishna,2014,7078
Andhra Pradesh,Kurnool,2014,8398
Andhra Pradesh,Srikakulam,2014,4727
Andhra Pradesh,Vizianagaram,2014,5013
Andhra Pradesh,West Godavari,2014,8542
Assam,Barpeta,2014,9056
Assam,Bongaigaon,2014,1789
Assam,Cachar,2014,5640
Assam,Chirang,2014,863
Assam,Darrang,2014,3901
Assam,Dhemaji,2014,1068
Assam,Dhubri,2014,7153
Assam,Dibrugarh,2014,3108
Assam,Goalpara,2014,2623
Assam,Golaghat,2014,2932
Assam,Hailakandi,2014,1940
Assam,Jorhat,2014,3732
Assam,Kamrup,2014,2785
Assam,Karbi Anglong,2014,960
Assam,Karimganj,2014,2827
Assam,Kokrajhar,2014,1419
Assam,Lakhimpur,2014,2872
Assam,Nagaon,2014,8399
Assam,Nalbari,2014,2122
Assam,Sonitpur,2014,3906
Assam,Tinsukia,2014,3309
Assam,Udalguri,2014,1453
Bihar,Araria,2014,3898
Bihar,Arwal,2014,991
Bihar,Aurangabad,2014,3079
Bihar,Banka,2014,2505
Bihar,Begusarai,2014,5196
Bihar,Bhagalpur,2014,4763
Bihar,Bhojpur,2014,5488
Bihar,Buxar,2014,3284
Bihar,Darbhanga,2014,5368
Bihar,Gaya,2014,7232
Bihar,Gopalganj,2014,3879
Bihar,Jamui,2014,1699
Bihar,Jehanabad,2014,1968
Bihar,Katihar,2014,3415
Bihar,Khagaria,2014,2589
Bihar,Kishanganj,2014,1982
Bihar,Lakhisarai,2014,1728
Bihar,Madhepura,2014,2426
Bihar,Madhubani,2014,5113
Bihar,Munger,2014,1778
Bihar,Muzaffarpur,2014,9373
Bihar,Nalanda,2014,6871
Bihar,Patna,2014,19804
Bihar,Rohtas,2014,5197
Bihar,Saharsa,2014,3189
Bihar,Samastipur,2014,5664
Bihar,Saran,2014,5586
Bihar,Sheikhpura,2014,1325
Bihar,Sheohar,2014,778
Bihar,Sitamarhi,2014,5453
Bihar,Siwan,2014,5003
Bihar,Supaul,2014,3008
Bihar,Vaishali,2014,6337
Chandigarh,Chandigarh,2014,3221
Chhattisgarh,Balod,2014,1479
Chhattisgarh,Balrampur,2014,1333
Chhattisgarh,Bilaspur,2014,4870
Chhattisgarh,Dhamtari,2014,1300
Chhattisgarh,Durg,2014,6677
Chhattisgarh,Gariyaband,2014,948
Chhattisgarh,Jashpur,2014,1225
Chhattisgarh,Kabirdham,2014,1573
Chhattisgarh,Kanker,2014,1253
Chhattisgarh,Kondagaon,2014,782
Chhattisgarh,Korba,2014,2572
Chhattisgarh,Mahasamund,2014,2469
Chhattisgarh,Narayanpur,2014,222
Chhattisgarh,Raigarh,2014,3074
Chhattisgarh,Raipur,2014,8306
Chhattisgarh,Rajnandgaon,2014,3255
Chhattisgarh,Sukma,2014,240
Chhattisgarh,Surajpur,2014,1753
Goa,North Goa,2014,2805
Goa,South Goa,2014,1549
Gujarat,Amreli,2014,1818
Gujarat,Anand,2014,3415
Gujarat,Arvalli,2014,3841
Gujarat,Bharuch,2014,2981
Gujarat,Bhavnagar,2014,3589
Gujarat,Botad,2014,783
Gujarat,Chhotaudepur,2014,1144
Gujarat,Dang,2014,283
Gujarat,Devbhumi Dwarka,2014,1106
Gujarat,Gandhinagar,2014,7451
Gujarat,Gir Somnath,2014,1405
Gujarat,Jamnagar,2014,3752
Gujarat,Junagadh,2014,2497
Gujarat,Kheda,2014,3614
Gujarat,Mahisagar,2014,1040
Gujarat,Morbi,2014,2332
Gujarat,Narmada,2014,664
Gujarat,Navsari,2014,1730
Gujarat,Patan,2014,2117
Gujarat,Porbandar,2014,913
Gujarat,Surendranagar,2014,2476
Gujarat,Tapi,2014,986
Gujarat,Valsad,2014,3072
Haryana,Bhiwani,2014,4604
Haryana,Faridabad,2014,6000
Haryana,Fatehabad,2014,2431
Haryana,Jhajjar,2014,2100
Haryana,Jind,2014,2892
Haryana,Kaithal,2014,1922
Haryana,Karnal,2014,4047
Haryana,Kurukshetra,2014,2581
Haryana,Palwal,2014,3247
Haryana,Panchkula,2014,1594
Haryana,Panipat,2014,4654
Haryana,Rewari,2014,2781
Haryana,Rohtak,2014,3820
Haryana,Sirsa,2014,3482
Haryana,Sonipat,2014,4311
Haryana,Yamunanagar,2014,3347
Himachal Pradesh,Bilaspur,2014,1185
Himachal Pradesh,Chamba,2014,761
Himachal Pradesh,Hamirpur,2014,845
Himachal Pradesh,Kangra,2014,2698
Himachal Pradesh,Kinnaur,2014,211
