STATE_UT,DISTRICT,YEAR,TOTAL_IPC,GIS_EXACT_MATCH
A&N Islands,Nicobar,2014,31,False
A&N Islands,North & Middle Andaman,2014,159,False
A&N Islands,South Andaman,2014,556,False
Andhra Pradesh,Anantapur,2014,8376,True
Andhra Pradesh,Chittoor,2014,5374,True
Andhra Pradesh,Cuddapah,2014,5803,False
Andhra Pradesh,East Godavari,2014,7630,True
Andhra Pradesh,Guntakal Railway,2014,490,False
Andhra Pradesh,Guntur,2014,6897,True
Andhra Pradesh,Guntur Urban,2014,5798,False
Andhra Pradesh,Krishna,2014,7078,True
Andhra Pradesh,Kurnool,2014,8398,True
Andhra Pradesh,Nellore,2014,8175,False
Andhra Pradesh,Prakasham,2014,6367,False
Andhra Pradesh,Rajahmundry,2014,2430,False
Andhra Pradesh,Srikakulam,2014,4727,True
Andhra Pradesh,Tirupathi Urban,2014,3651,False
Andhra Pradesh,Vijayawada City,2014,7876,False
Andhra Pradesh,Vijayawada Railway,2014,1223,False
Andhra Pradesh,Visakha Rural,2014,3028,False
Andhra Pradesh,Visakhapatnam,2014,7728,False
Andhra Pradesh,Vizianagaram,2014,5013,True
Andhra Pradesh,West Godavari,2014,8542,True
Arunachal Pradesh,Anjaw,2014,29,False
Arunachal Pradesh,Changlang,2014,180,False
Arunachal Pradesh,Crime Branch,2014,4,False
Arunachal Pradesh,Dibang Valley,2014,4,False
Arunachal Pradesh,Kameng East,2014,148,False
Arunachal Pradesh,Kameng West,2014,140,False
Arunachal Pradesh,Kukung Kumey,2014,49,False
Arunachal Pradesh,Lohit,2014,280,False
Arunachal Pradesh,Longding,2014,92,False
Arunachal Pradesh,Lower Dibang Valley,2014,75,False
Arunachal Pradesh,Papum Pare City,2014,661,False
Arunachal Pradesh,Papum Pare Rural,2014,96,False
Arunachal Pradesh,Siang East,2014,245,False
Arunachal Pradesh,Siang Upper,2014,40,False
Arunachal Pradesh,Siang West,2014,249,False
Arunachal Pradesh,Subansiri Lower,2014,160,False
Arunachal Pradesh,Subansiri Upper,2014,234,False
Arunachal Pradesh,Tawang,2014,40,False
Arunachal Pradesh,Tirap,2014,117,False
Assam,Barpeta,2014,9056,True
Assam,Baska,2014,853,False
Assam,Bongaigaon,2014,1789,True
Assam,Cachar,2014,5640,True
Assam,Chirang,2014,863,True
Assam,Darrang,2014,3901,True
Assam,Dhemaji,2014,1068,True
Assam,Dhubri,2014,7153,True
Assam,Dibrugarh,2014,3108,True
Assam,G. R. P.,2014,319,False
Assam,Goalpara,2014,2623,True
Assam,Golaghat,2014,2932,True
Assam,Guwahati City,2014,12216,False
Assam,Hailakandi,2014,1940,True
Assam,Jorhat,2014,3732,True
Assam,Kamrup,2014,2785,True
Assam,Karbi Anglong,2014,960,True
Assam,Karimganj,2014,2827,True
Assam,Kokrajhar,2014,1419,True
Assam,Lakhimpur,2014,2872,True
Assam,Morigaon,2014,2557,False
Assam,N. C. Hills,2014,299,False
Assam,Nagaon,2014,8399,True
Assam,Nalbari,2014,2122,True
Assam,Sibsagar,2014,4236,False
Assam,Sonitpur,2014,3906,True
Assam,Tinsukia,2014,3309,True
Assam,Udalguri,2014,1453,True
Bihar,Anti Terrorist Squad,2014,0,False
Bihar,Araria,2014,3898,True
Bihar,Arwal,2014,991,True
Bihar,Aurangabad,2014,3079,True
Bihar,Bagaha,2014,1860,False
Bihar,Banka,2014,2505,True
Bihar,Begusarai,2014,5196,True
Bihar,Bettiah,2014,4712,False
Bihar,Bhabhua,2014,2267,False
Bihar,Bhagalpur,2014,4763,True
Bihar,Bhojpur,2014,5488,True
Bihar,Buxar,2014,3284,True
Bihar,Darbhanga,2014,5368,True
Bihar,Economic Offences Unit,2014,11,False
Bihar,Gaya,2014,7232,True
Bihar,Gopalganj,2014,3879,True
Bihar,Jamalpur Railway,2014,298,False
Bihar,Jamui,2014,1699,True
Bihar,Jehanabad,2014,1968,True
Bihar,Katihar,2014,3415,True
Bihar,Katihar Railway,2014,313,False
Bihar,Khagaria,2014,2589,True
Bihar,Kishanganj,2014,1982,True
Bihar,Lakhisarai,2014,1728,True
Bihar,Madhepura,2014,2426,True
Bihar,Madhubani,2014,5113,True
Bihar,Motihari,2014,9490,False
Bihar,Munger,2014,1778,True
Bihar,Muzaffarpur,2014,9373,True
Bihar,Muzaffarpur Railway,2014,596,False
Bihar,Nalanda,2014,6871,True
Bihar,Naugachia,2014,1732,False
Bihar,Nawadah,2014,3408,False
Bihar,Patna,2014,19804,True
Bihar,Patna Railway,2014,1216,False
Bihar,Purnea,2014,5723,False
Bihar,Rohtas,2014,5197,True
Bihar,Saharsa,2014,3189,True
Bihar,Samastipur,2014,5664,True
Bihar,Saran,2014,5586,True
Bihar,Sheikhpura,2014,1325,True
Bihar,Sheohar,2014,778,True
Bihar,Sitamarhi,2014,5453,True
Bihar,Siwan,2014,5003,True
Bihar,Supaul,2014,3008,True
Bihar,Vaishali,2014,6337,True
Chandigarh,Chandigarh,2014,3221,True
Chhattisgarh,Balod,2014,1479,True
Chhattisgarh,Balodbazar,2014,2578,False
Chhattisgarh,Balrampur,2014,1333,True
Chhattisgarh,Bemetra,2014,1645,False
Chhattisgarh,Bilaspur,2014,4870,True
Chhattisgarh,Bizapur,2014,343,False
Chhattisgarh,Dantewara,2014,442,False
Chhattisgarh,Dhamtari,2014,1300,True
Chhattisgarh,Durg,2014,6677,True
Chhattisgarh,G. R. P. Raipur,2014,400,False
Chhattisgarh,Gariyaband,2014,948,True
Chhattisgarh,Jagdalpur,2014,1580,False
Chhattisgarh,Janjgir,2014,3401,False
Chhattisgarh,Jashpur,2014,1225,True
Chhattisgarh,Kabirdham,2014,1573,True
Chhattisgarh,Kanker,2014,1253,True
Chhattisgarh,Kondagaon,2014,782,True
Chhattisgarh,Korba,2014,2572,True
Chhattisgarh,Koriya,2014,1707,False
Chhattisgarh,Mahasamund,2014,2469,True
Chhattisgarh,Mungali,2014,938,False
Chhattisgarh,Narayanpur,2014,222,True
Chhattisgarh,Raigarh,2014,3074,True
Chhattisgarh,Raipur,2014,8306,True
Chhattisgarh,Rajnandgaon,2014,3255,True
Chhattisgarh,Sarguja,2014,1835,False
Chhattisgarh,Sukma,2014,240,True
Chhattisgarh,Surajpur,2014,1753,True
D&N Haveli,D&N Haveli,2014,277,False
Daman & Diu,Daman,2014,198,False
Daman & Diu,Diu,2014,35,False
Delhi UT,Central,2014,8932,False
Delhi UT,Crime Branch,2014,52,False
Delhi UT,EOW,2014,85,False
Delhi UT,East,2014,18642,False
Delhi UT,IGI Airport,2014,453,False
Delhi UT,Metro,2014,2309,False
Delhi UT,New Delhi,2014,2421,False
Delhi UT,North,2014,8201,False
Delhi UT,North-East,2014,16904,False
Delhi UT,North-West,2014,13251,False
Delhi UT,Outer,2014,20320,False
Delhi UT,RAILWAY,2014,1816,False
Delhi UT,SPUWAC,2014,161,False
Delhi UT,South,2014,17371,False
Delhi UT,South-East,2014,14914,False
Delhi UT,South-West,2014,11320,False
Delhi UT,Spl Cell,2014,14,False
Delhi UT,Vigilance,2014,0,False
Delhi UT,West,2014,18488,False
Goa,C. I. D.,2014,112,False
Goa,North Goa,2014,2805,True
Goa,South Goa,2014,1549,True
Gujarat,Ahmedabad City,2014,15286,False
Gujarat,Ahmedabad Rural,2014,4266,False
Gujarat,Amreli,2014,1818,True
Gujarat,Anand,2014,3415,True
Gujarat,Arvalli,2014,3841,True
Gujarat,Banaskantha,2014,4464,False
Gujarat,Bharuch,2014,2981,True
Gujarat,Bhavnagar,2014,3589,True
Gujarat,Botad,2014,783,True
Gujarat,C. I. D. Crime,2014,8,False
Gujarat,Chhotaudepur,2014,1144,True
Gujarat,Dahod,2014,2594,False
Gujarat,Dang,2014,283,True
