STATE_UT,DISTRICT,YEAR,TOTAL_IPC
A&N Islands,Nicobar,2014,31
A&N Islands,North & Middle Andaman,2014,159
A&N Islands,South Andaman,2014,556
Andhra Pradesh,Cuddapah,2014,5803
Andhra Pradesh,Guntakal Railway,2014,490
Andhra Pradesh,Guntur Urban,2014,5798
Andhra Pradesh,Nellore,2014,8175
Andhra Pradesh,Prakasham,2014,6367
Andhra Pradesh,Rajahmundry,2014,2430
Andhra Pradesh,Tirupathi Urban,2014,3651
Andhra Pradesh,Vijayawada City,2014,7876
Andhra Pradesh,Vijayawada Railway,2014,1223
Andhra Pradesh,Visakha Rural,2014,3028
Andhra Pradesh,Visakhapatnam,2014,7728
Arunachal Pradesh,Anjaw,2014,29
Arunachal Pradesh,Changlang,2014,180
Arunachal Pradesh,Crime Branch,2014,4
Arunachal Pradesh,Dibang Valley,2014,4
Arunachal Pradesh,Kameng East,2014,148
Arunachal Pradesh,Kameng West,2014,140
Arunachal Pradesh,Kukung Kumey,2014,49
Arunachal Pradesh,Lohit,2014,280
Arunachal Pradesh,Longding,2014,92
Arunachal Pradesh,Lower Dibang Valley,2014,75
Arunachal Pradesh,Papum Pare City,2014,661
Arunachal Pradesh,Papum Pare Rural,2014,96
Arunachal Pradesh,Siang East,2014,245
Arunachal Pradesh,Siang Upper,2014,40
Arunachal Pradesh,Siang West,2014,249
Arunachal Pradesh,Subansiri Lower,2014,160
Arunachal Pradesh,Subansiri Upper,2014,234
Arunachal Pradesh,Tawang,2014,40
Arunachal Pradesh,Tirap,2014,117
Assam,Baska,2014,853
Assam,G. R. P.,2014,319
Assam,Guwahati City,2014,12216
Assam,Morigaon,2014,2557
Assam,N. C. Hills,2014,299
Assam,Sibsagar,2014,4236
Bihar,Anti Terrorist Squad,2014,0
Bihar,Bagaha,2014,1860
Bihar,Bettiah,2014,4712
Bihar,Bhabhua,2014,2267
Bihar,Economic Offences Unit,2014,11
Bihar,Jamalpur Railway,2014,298
Bihar,Katihar Railway,2014,313
Bihar,Motihari,2014,9490
Bihar,Muzaffarpur Railway,2014,596
Bihar,Naugachia,2014,1732
Bihar,Nawadah,2014,3408
Bihar,Patna Railway,2014,1216
Bihar,Purnea,2014,5723
Chhattisgarh,Balodbazar,2014,2578
Chhattisgarh,Bemetra,2014,1645
Chhattisgarh,Bizapur,2014,343
Chhattisgarh,Dantewara,2014,442
Chhattisgarh,G. R. P. Raipur,2014,400
Chhattisgarh,Jagdalpur,2014,1580
Chhattisgarh,Janjgir,2014,3401
Chhattisgarh,Koriya,2014,1707
Chhattisgarh,Mungali,2014,938
Chhattisgarh,Sarguja,2014,1835
D&N Haveli,D&N Haveli,2014,277
Daman & Diu,Daman,2014,198
Daman & Diu,Diu,2014,35
Delhi UT,Central,2014,8932
Delhi UT,Crime Branch,2014,52
Delhi UT,EOW,2014,85
Delhi UT,East,2014,18642
Delhi UT,IGI Airport,2014,453
Delhi UT,Metro,2014,2309
Delhi UT,New Delhi,2014,2421
Delhi UT,North,2014,8201
Delhi UT,North-East,2014,16904
Delhi UT,North-West,2014,13251
Delhi UT,Outer,2014,20320
Delhi UT,RAILWAY,2014,1816
Delhi UT,SPUWAC,2014,161
Delhi UT,South,2014,17371
Delhi UT,South-East,2014,14914
Delhi UT,South-West,2014,11320
Delhi UT,Spl Cell,2014,14
Delhi UT,Vigilance,2014,0
Delhi UT,West,2014,18488
Goa,C. I. D.,2014,112
Gujarat,Ahmedabad City,2014,15286
Gujarat,Ahmedabad Rural,2014,4266
Gujarat,Banaskantha,2014,4464
Gujarat,C. I. D. Crime,2014,8
Gujarat,Dahod,2014,2594
Gujarat,Kachchh East(G),2014,3349
Gujarat,Kachchh West(B),2014,2269
Gujarat,Mehsana,2014,6587
Gujarat,Panchmahal,2014,2634
Gujarat,Rajkot City,2014,3516
Gujarat,Rajkot Rural,2014,2891
Gujarat,Sabarkantha,2014,5647
Gujarat,Surat City,2014,4397
Gujarat,Surat Rural,2014,3810
Gujarat,Vadodara City,2014,12651
Gujarat,Vadodara Rural,2014,2896
Gujarat,W.Rly  Ahmedabad,2014,454
Gujarat,W.Rly Vadodara,2014,657
Haryana,Ambala (Rural),2014,1098
Haryana,Ambala (Urban),2014,1977
Haryana,G. R. P.,2014,1139
Haryana,Gurgaon,2014,11444
Haryana,Hissar,2014,5608
Haryana,Irrigation & Power,2014,192
Haryana,Mahendergarh,2014,2262
Haryana,Mewat,2014,2414
Himachal Pradesh,Baddi,2014,651
Himachal Pradesh,C. I. D.,2014,4
Himachal Pradesh,G. R. P.,2014,9
Himachal Pradesh,Lahaul & Spiti,2014,84
Jammu & Kashmir,Awantipora,2014,389
Jammu & Kashmir,Crime Jammu,2014,14
Jammu & Kashmir,Crime Srinagar,2014,43
Jammu & Kashmir,Handwara,2014,562
Jammu & Kashmir,Kargil,2014,105
Jammu & Kashmir,Leh,2014,166
Jammu & Kashmir,Railways Jammu,2014,16
Jammu & Kashmir,Railways Kashmir,2014,13
Jammu & Kashmir,Railways Katra,2014,6
Jammu & Kashmir,Sopore,2014,634
Jharkhand,Chaibasa,2014,954
Jharkhand,Dhanbad Railway,2014,365
Jharkhand,Jamshedpur,2014,3985
Jharkhand,Jamshedpur Railway,2014,188
Jharkhand,Lohardagga,2014,536
Jharkhand,Saraikela,2014,1108
Karnataka,Bagalkot,2014,2131
Karnataka,Belagavi City,2014,2396
Karnataka,Belagavi District,2014,4851
Karnataka,Bengaluru City,2014,31892
Karnataka,Bengaluru District,2014,5567
Karnataka,Chamarajnagar,2014,1607
Karnataka,Davanagere,2014,3635
Karnataka,Hubballi Dharwad City,2014,1936
Karnataka,K.G.F.,2014,777
Karnataka,K.Railways,2014,948
Karnataka,Kalaburgi,2014,4448
Karnataka,Mangaluru City,2014,3039
Karnataka,Mysuru City,2014,2766
Karnataka,Mysuru District,2014,4118
Karnataka,Ramanagar,2014,4249
Karnataka,Shimoga,2014,6043
Karnataka,Yadgiri,2014,1496
Kerala,Alapuzha,2014,11033
Kerala,Crime Branch,2014,185
Kerala,Ernakulam Commr.,2014,17088
Kerala,Ernakulam Rural,2014,20185
Kerala,Kasargod,2014,5016
Kerala,Kollam Commr.,2014,9314
Kerala,Kollam Rural,2014,7910
Kerala,Kozhikode Commr.,2014,4665
Kerala,Kozhikode Rural,2014,5391
Kerala,Railways,2014,508
Kerala,Thrissur Commr.,2014,6548
Kerala,Thrissur Rural,2014,20117
Kerala,Trivandrum Commr.,2014,12504
Kerala,Trivandrum Rural,2014,12024
Kerala,Wayanadu,2014,3182
Lakshadweep,Lakshadweep,2014,81
