STATE_UT,DISTRICT,YEAR,TARGET_YEAR,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,PREDICTED_RISK_BAND
Andhra Pradesh,CUDDAPAH,2013,2014,0.0935994449882871,HIGH
Andhra Pradesh,CYBERABAD,2013,2014,0.0948992982555709,HIGH
Andhra Pradesh,GUNTUR URBAN,2013,2014,0.0853320029616584,MEDIUM
Andhra Pradesh,HYDERABAD CITY,2013,2014,0.1085898680143999,HIGH
Andhra Pradesh,NELLORE,2013,2014,0.0901323358872348,HIGH
Andhra Pradesh,PRAKASHAM,2013,2014,0.1201379462495439,HIGH
Andhra Pradesh,RAJAHMUNDRY,2013,2014,0.1249597673664213,HIGH
Andhra Pradesh,TIRUPATHI URBAN,2013,2014,0.0791609167201288,MEDIUM
Andhra Pradesh,VIJAYAWADA CITY,2013,2014,0.1358646648150541,HIGH
Andhra Pradesh,VISAKHA RURAL,2013,2014,0.1167513710976508,HIGH
Andhra Pradesh,VISAKHAPATNAM,2013,2014,0.0761957985474184,MEDIUM
Andhra Pradesh,WARANGAL URBAN,2013,2014,0.0909486550661868,HIGH
Arunachal Pradesh,ANJAW,2013,2014,0.011592893146515,LOW
Arunachal Pradesh,CHANGLANG,2013,2014,0.0425510551026933,LOW
Arunachal Pradesh,DIBANG VALLEY,2013,2014,0.006427281569701,LOW
Arunachal Pradesh,KAMENG EAST,2013,2014,0.0543820449042102,MEDIUM
Arunachal Pradesh,KAMENG WEST,2013,2014,0.0126970690567718,LOW
Arunachal Pradesh,LOHIT,2013,2014,0.0690196304609018,MEDIUM
Arunachal Pradesh,LONGDING,2013,2014,0.0418273914481319,LOW
Arunachal Pradesh,SIANG EAST,2013,2014,0.0795449219023554,MEDIUM
Arunachal Pradesh,SIANG UPPER,2013,2014,0.0360180972571286,LOW
Arunachal Pradesh,SIANG WEST,2013,2014,0.083113588117955,MEDIUM
Arunachal Pradesh,SUBANSIRI LOWER,2013,2014,0.0675797667978217,MEDIUM
Arunachal Pradesh,SUBANSIRI UPPER,2013,2014,0.0751688004526884,MEDIUM
Arunachal Pradesh,TAWANG,2013,2014,0.147061213146779,HIGH
Arunachal Pradesh,TIRAP,2013,2014,0.0395515322899642,LOW
Assam,GUWAHATI CITY,2013,2014,0.0694064713422919,MEDIUM
Assam,MORIGAON,2013,2014,0.1922836169933164,HIGH
Assam,SIBSAGAR,2013,2014,0.1068736608719704,HIGH
Bihar,BAGAHA,2013,2014,0.0630566879762868,MEDIUM
Bihar,BETTIAH,2013,2014,0.0744248355696954,MEDIUM
Bihar,BHABHUA,2013,2014,0.0845800237586702,MEDIUM
Bihar,MOTIHARI,2013,2014,0.060985002687447,MEDIUM
Bihar,NAUGACHIA,2013,2014,0.1003729285548702,HIGH
Bihar,NAWADAH,2013,2014,0.0998366710545484,HIGH
Bihar,PURNEA,2013,2014,0.0452118488847561,LOW
Chhattisgarh,BIZAPUR,2013,2014,0.0653539028053005,MEDIUM
Chhattisgarh,DANTEWARA,2013,2014,0.0285816458778229,LOW
Chhattisgarh,JAGDALPUR,2013,2014,0.0806572559030713,MEDIUM
Chhattisgarh,JANJGIR,2013,2014,0.1119136635854134,HIGH
Chhattisgarh,KORIYA,2013,2014,0.1254078269111376,HIGH
Chhattisgarh,SARGUJA,2013,2014,0.108839212048801,HIGH
D&N Haveli,D&N HAVELI,2013,2014,0.0076065557918398,LOW
Daman & Diu,DAMAN,2013,2014,0.0597040294821,MEDIUM
Daman & Diu,DIU,2013,2014,0.0462245006682751,LOW
Delhi UT,CENTRAL,2013,2014,0.0393432546692993,LOW
Delhi UT,CRIME BRANCH,2013,2014,0.0559769964772358,MEDIUM
Delhi UT,EAST,2013,2014,0.0504407644147677,LOW
Delhi UT,EOW,2013,2014,0.0412331679722031,LOW
Delhi UT,IGI AIRPORT,2013,2014,0.040227976671362,LOW
Delhi UT,NEW DELHI,2013,2014,0.0772210288173924,MEDIUM
Delhi UT,NORTH,2013,2014,0.0520127969570525,MEDIUM
Delhi UT,NORTH-EAST,2013,2014,0.0757257047578023,MEDIUM
Delhi UT,NORTH-WEST,2013,2014,0.0831513510248329,MEDIUM
Delhi UT,OUTER,2013,2014,0.0572593048008529,MEDIUM
Delhi UT,SOUTH,2013,2014,0.0452925816547222,LOW
Delhi UT,SOUTH-EAST,2013,2014,0.0685976910497048,MEDIUM
Delhi UT,SOUTH-WEST,2013,2014,0.1292684514803157,HIGH
Delhi UT,WEST,2013,2014,0.0936375265707754,HIGH
Gujarat,AHMEDABAD RURAL,2013,2014,0.0756652106155486,MEDIUM
Gujarat,DAHOD,2013,2014,0.0365616402644322,LOW
Gujarat,MEHSANA,2013,2014,0.0680182540391187,MEDIUM
Gujarat,PANCHMAHAL,2013,2014,0.0903162545330233,HIGH
Gujarat,RAJKOT RURAL,2013,2014,0.1133092582048449,HIGH
Gujarat,SURAT RURAL,2013,2014,0.0684546999248583,MEDIUM
Gujarat,VADODARA RURAL,2013,2014,0.0725781417006403,MEDIUM
Gujarat,W.RLY AHMEDABAD,2013,2014,0.0285537124221251,LOW
Gujarat,W.RLY VADODARA,2013,2014,0.031470839238908,LOW
Haryana,GURGAON,2013,2014,0.067990915549325,MEDIUM
Haryana,HISSAR,2013,2014,0.093334251859227,HIGH
Haryana,MEWAT,2013,2014,0.1396334568842634,HIGH
Jammu & Kashmir,AWANTIPORA,2013,2014,0.0953009213889346,HIGH
Jammu & Kashmir,CRIME JAMMU,2013,2014,0.0456780677555117,LOW
Jammu & Kashmir,CRIME SRINAGAR,2013,2014,0.0564375567395403,MEDIUM
Jammu & Kashmir,HANDWARA,2013,2014,0.1426799217737924,HIGH
Jammu & Kashmir,KARGIL,2013,2014,0.0346291458435972,LOW
Jammu & Kashmir,LEH,2013,2014,0.0403261281222826,LOW
Jammu & Kashmir,RAILWAYS JAMMU,2013,2014,0.0236664679376106,LOW
Jammu & Kashmir,RAILWAYS KASHMIR,2013,2014,0.1547903226878746,HIGH
Jammu & Kashmir,RAILWAYS KATRA,2013,2014,0.0225942835763264,LOW
Jammu & Kashmir,SOPORE,2013,2014,0.1248896613684651,HIGH
Jharkhand,CHAIBASA,2013,2014,0.1549031433192682,HIGH
Jharkhand,JAMSHEDPUR,2013,2014,0.0954606714997099,HIGH
