MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,YEAR,NEXT_YEAR_WOMEN_CRIME_SHARE,TARGET_YEAR,STATE_UT,DISTRICT,REPORTING_UNIT_KEY,TEST_ROW_ID,PREDICTED_WOMEN_CRIME_SHARE,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,ABSOLUTE_ERROR,STATE_KEY,DISTRICT_KEY,GIS_EXACT_MATCH,GIS_MATCH_TYPE,GIS_MAPPED_STATE_KEY,GIS_MAPPED_DISTRICT_KEY,GIS_MAPPED,PREDICTED_RISK_BAND
96,72,13,61,0,65,2,14,274,377,86,58,93,254,30,12,197,138,464,0,376,1390,6381,872,520,753,347,88,0.1366556965992791,2013,0.1274022531477799,2014,Andhra Pradesh,ADILABAD,ANDHRA_PRADESH_TELANGANA_FAMILY||ADILABAD,2,0.1228549296254983,0.1228549296254983,0.0045473235222815,ANDHRA PRADESH TELANGANA,ADILABAD,True,EXACT,ANDHRA PRADESH TELANGANA,ADILABAD,True,HIGH
156,149,3,28,0,110,5,23,279,597,154,56,5,160,29,23,337,43,161,0,573,1634,6913,592,811,1058,165,85,0.0856357587154636,2013,0.0820200573065902,2014,Andhra Pradesh,ANANTAPUR,ANDHRA_PRADESH_TELANGANA_FAMILY||ANANTAPUR,5,0.073122767740182,0.073122767740182,0.0088972895664082,ANDHRA PRADESH TELANGANA,ANANTAPUR,True,EXACT,ANDHRA PRADESH TELANGANA,ANANTAPUR,True,MEDIUM
72,61,2,31,0,52,3,11,157,512,158,57,17,238,18,13,119,84,435,0,546,2239,5610,682,351,841,255,75,0.1215686274509803,2013,0.1034611090435429,2014,Andhra Pradesh,CHITTOOR,ANDHRA_PRADESH_TELANGANA_FAMILY||CHITTOOR,8,0.1090077120137722,0.1090077120137722,0.0055466029702293,ANDHRA PRADESH TELANGANA,CHITTOOR,True,EXACT,ANDHRA PRADESH TELANGANA,CHITTOOR,True,HIGH
93,107,7,19,0,84,2,9,220,702,255,156,81,317,34,9,318,163,207,0,464,1741,7048,716,639,1188,398,190,0.1015891032917139,2013,0.0623815267964845,2014,Andhra Pradesh,CUDDAPAH,ANDHRA_PRADESH_TELANGANA_FAMILY||CUDDAPAH,11,0.0935994449882871,0.0935994449882871,0.0312179181918025,ANDHRA PRADESH TELANGANA,CUDDAPAH,False,UNMATCHED,,,False,HIGH
162,123,16,138,0,192,15,89,1318,4779,1761,34,179,2111,40,43,350,338,1526,0,1104,3139,19992,2395,1085,7962,2290,74,0.119797919167667,2013,0.1120086997048314,2014,Andhra Pradesh,CYBERABAD,ANDHRA_PRADESH_TELANGANA_FAMILY||CYBERABAD,14,0.0948992982555709,0.0948992982555709,0.0171094014492604,ANDHRA PRADESH TELANGANA,CYBERABAD,False,UNMATCHED,,,False,HIGH
68,71,6,74,0,63,3,15,326,788,310,50,86,222,21,15,352,222,483,0,525,1082,6779,1146,652,1442,308,71,0.1690514825195456,2013,0.1490170380078637,2014,Andhra Pradesh,EAST GODAVARI,ANDHRA_PRADESH_TELANGANA_FAMILY||EAST GODAVARI,17,0.1360634660374786,0.1360634660374786,0.012953571970385,ANDHRA PRADESH TELANGANA,EAST GODAVARI,True,EXACT,ANDHRA PRADESH TELANGANA,EAST GODAVARI,True,HIGH
110,87,1,38,0,61,4,21,192,675,200,41,41,305,21,16,296,135,608,0,449,1569,7026,1093,618,1092,346,62,0.1555650441218332,2013,0.1610845295055821,2014,Andhra Pradesh,GUNTUR,ANDHRA_PRADESH_TELANGANA_FAMILY||GUNTUR,22,0.1231827897785551,0.1231827897785551,0.0379017397270269,ANDHRA PRADESH TELANGANA,GUNTUR,True,EXACT,ANDHRA PRADESH TELANGANA,GUNTUR,True,HIGH
44,51,3,28,0,46,2,26,190,991,408,11,15,372,14,7,124,93,326,0,226,1123,4878,578,324,1617,387,25,0.1184911849118491,2013,0.1740255260434632,2014,Andhra Pradesh,GUNTUR URBAN,ANDHRA_PRADESH_TELANGANA_FAMILY||GUNTUR URBAN,25,0.0853320029616584,0.0853320029616584,0.0886935230818047,ANDHRA PRADESH TELANGANA,GUNTUR URBAN,False,UNMATCHED,,,False,MEDIUM
120,145,5,101,0,131,6,47,658,4166,1353,118,75,2382,62,39,225,90,1480,0,527,2839,16355,1935,780,6230,2457,180,0.1183124426780801,2013,0.1012143611404435,2014,Andhra Pradesh,HYDERABAD CITY,ANDHRA_PRADESH_TELANGANA_FAMILY||HYDERABAD CITY,28,0.1085898680143999,0.1085898680143999,0.0073755068739564,ANDHRA PRADESH TELANGANA,HYDERABAD CITY,False,UNMATCHED,,,False,HIGH
101,89,10,57,0,118,3,20,349,771,242,96,120,706,45,39,354,276,670,0,535,1881,8836,1396,752,1385,826,141,0.1579900407424173,2013,0.1364314645065018,2014,Andhra Pradesh,KARIMNAGAR,ANDHRA_PRADESH_TELANGANA_FAMILY||KARIMNAGAR,31,0.1319698352194664,0.1319698352194664,0.0044616292870353,ANDHRA PRADESH TELANGANA,KARIMNAGAR,True,EXACT,ANDHRA PRADESH TELANGANA,KARIMNAGAR,True,HIGH
