state_name,district,STATE_UT,DISTRICT,YEAR,TARGET_YEAR,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,PREDICTED_RISK_BAND,TOTAL_IPC,GIS_EXACT_MATCH
Madhya Pradesh,Anuppur,Madhya Pradesh,ANUPPUR,2013,2014,0.1249453426116191,HIGH,1860,True
Madhya Pradesh,Balaghat,Madhya Pradesh,BALAGHAT,2013,2014,0.1087080547399439,HIGH,2871,True
Madhya Pradesh,Harda,Madhya Pradesh,HARDA,2013,2014,0.0839264915513184,MEDIUM,1100,True
Madhya Pradesh,Indore,Madhya Pradesh,INDORE,2013,2014,0.0342743720151419,LOW,22249,True
Madhya Pradesh,Jabalpur,Madhya Pradesh,JABALPUR,2013,2014,0.0647694401048768,MEDIUM,10790,True
Madhya Pradesh,Jhabua,Madhya Pradesh,JHABUA,2013,2014,0.0568128830832621,MEDIUM,2498,True
Madhya Pradesh,Katni,Madhya Pradesh,KATNI,2013,2014,0.0917155187222051,HIGH,3803,True
Madhya Pradesh,Mandla,Madhya Pradesh,MANDLA,2013,2014,0.1080767734696281,HIGH,1906,True
Rajasthan,Jaisalmer,Rajasthan,JAISALMER,2013,2014,0.0627127961786671,MEDIUM,1434,True
Rajasthan,Jalore,Rajasthan,JALORE,2013,2014,0.0920070590452952,HIGH,2593,True
Rajasthan,Jhalawar,Rajasthan,JHALAWAR,2013,2014,0.1718153045914847,HIGH,4133,True
Rajasthan,Jhunjhunu,Rajasthan,JHUNJHUNU,2013,2014,0.0996059148524979,HIGH,4752,True
Rajasthan,Karauli,Rajasthan,KARAULI,2013,2014,0.0178408205873823,LOW,4636,True
Rajasthan,Nagaur,Rajasthan,NAGAUR,2013,2014,0.0602270440535279,MEDIUM,5186,True
Rajasthan,Pali,Rajasthan,PALI,2013,2014,0.0503938788694371,LOW,6152,True
Rajasthan,Rajsamand,Rajasthan,RAJSAMAND,2013,2014,0.1340064892676282,HIGH,2571,True
Rajasthan,Sawai Madhopur,Rajasthan,SAWAI MADHOPUR,2013,2014,0.0155905440173158,LOW,4077,True
Uttar Pradesh,Sitapur,Uttar Pradesh,SITAPUR,2013,2014,0.1119726662499347,HIGH,3934,True
Uttar Pradesh,Sonbhadra,Uttar Pradesh,SONBHADRA,2013,2014,0.0983883618376937,HIGH,779,True
Uttar Pradesh,Sultanpur,Uttar Pradesh,SULTANPUR,2013,2014,0.110397508906965,HIGH,2284,True
Uttar Pradesh,Unnao,Uttar Pradesh,UNNAO,2013,2014,0.1318177573732641,HIGH,2825,True
Uttar Pradesh,Varanasi,Uttar Pradesh,VARANASI,2013,2014,0.1256981947308106,HIGH,5077,True
Uttar Pradesh,Kasganj,Uttar Pradesh,KASGANJ,2013,2014,0.0883031608437876,HIGH,1339,True
Uttar Pradesh,Amethi,Uttar Pradesh,AMETHI,2013,2014,0.1020332595815121,HIGH,1666,True
Uttar Pradesh,Sambhal,Uttar Pradesh,SAMBHAL,2013,2014,0.1175122824041368,HIGH,2284,True
Uttar Pradesh,Shamli,Uttar Pradesh,SHAMLI,2013,2014,0.1285118051587959,HIGH,1410,True
Uttar Pradesh,Hapur,Uttar Pradesh,HAPUR,2013,2014,0.1097387370228177,HIGH,1839,True
West Bengal,Bankura,West Bengal,BANKURA,2013,2014,0.1659204391250968,HIGH,2494,True
West Bengal,Birbhum,West Bengal,BIRBHUM,2013,2014,0.1556690877729794,HIGH,2882,True
West Bengal,Coochbehar,West Bengal,COOCHBEHAR,2013,2014,0.1825197902751953,HIGH,4437,True
West Bengal,Darjeeling,West Bengal,DARJEELING,2013,2014,0.1278672936056624,HIGH,1943,True
Andhra Pradesh,Anantapur,Andhra Pradesh,ANANTAPUR,2013,2014,0.073122767740182,MEDIUM,6913,True
Andhra Pradesh,Chittoor,Andhra Pradesh,CHITTOOR,2013,2014,0.1090077120137722,HIGH,5610,True
Andhra Pradesh,East Godavari,Andhra Pradesh,EAST GODAVARI,2013,2014,0.1360634660374786,HIGH,6779,True
Andhra Pradesh,Guntur,Andhra Pradesh,GUNTUR,2013,2014,0.1231827897785551,HIGH,7026,True
Andhra Pradesh,Krishna,Andhra Pradesh,KRISHNA,2013,2014,0.1281356746522151,HIGH,6876,True
Andhra Pradesh,Kurnool,Andhra Pradesh,KURNOOL,2013,2014,0.090709584141267,HIGH,7595,True
Andhra Pradesh,Srikakulam,Andhra Pradesh,SRIKAKULAM,2013,2014,0.103194489130624,HIGH,4841,True
Andhra Pradesh,Vizianagaram,Andhra Pradesh,VIZIANAGARAM,2013,2014,0.1164088650199504,HIGH,4918,True
Andhra Pradesh,West Godavari,Andhra Pradesh,WEST GODAVARI,2013,2014,0.1255455887559848,HIGH,8498,True
Bihar,Araria,Bihar,ARARIA,2013,2014,0.0545674148175565,MEDIUM,2813,True
Bihar,Aurangabad,Bihar,AURANGABAD,2013,2014,0.0763731474067783,MEDIUM,3648,True
Bihar,Banka,Bihar,BANKA,2013,2014,0.0960085952652478,HIGH,2065,True
Bihar,Begusarai,Bihar,BEGUSARAI,2013,2014,0.0594882377861638,MEDIUM,5319,True
Bihar,Bhagalpur,Bihar,BHAGALPUR,2013,2014,0.0892013298648295,HIGH,3590,True
Bihar,Bhojpur,Bihar,BHOJPUR,2013,2014,0.075360124414624,MEDIUM,4888,True
Bihar,Buxar,Bihar,BUXAR,2013,2014,0.0662244392022886,MEDIUM,2833,True
Bihar,Darbhanga,Bihar,DARBHANGA,2013,2014,0.1030434021053439,HIGH,5674,True
Bihar,Gaya,Bihar,GAYA,2013,2014,0.0841676430639084,MEDIUM,7816,True
Bihar,Gopalganj,Bihar,GOPALGANJ,2013,2014,0.1110689662749295,HIGH,3811,True
Bihar,Jamui,Bihar,JAMUI,2013,2014,0.1082753673757623,HIGH,1942,True
Bihar,Jehanabad,Bihar,JEHANABAD,2013,2014,0.0861978468832462,HIGH,1976,True
Bihar,Katihar,Bihar,KATIHAR,2013,2014,0.102864542496343,HIGH,3693,True
Assam,Barpeta,Assam,BARPETA,2013,2014,0.1574277085069384,HIGH,8597,True
Assam,Bongaigaon,Assam,BONGAIGAON,2013,2014,0.1104272207552996,HIGH,1565,True
Assam,Cachar,Assam,CACHAR,2013,2014,0.1326454288917078,HIGH,4880,True
Assam,Darrang,Assam,DARRANG,2013,2014,0.2299122726136262,HIGH,2459,True
Assam,Dhemaji,Assam,DHEMAJI,2013,2014,0.1264269877012098,HIGH,1397,True
Assam,Dhubri,Assam,DHUBRI,2013,2014,0.2198266580264858,HIGH,6857,True
Assam,Dibrugarh,Assam,DIBRUGARH,2013,2014,0.100772081817462,HIGH,3529,True
Assam,Goalpara,Assam,GOALPARA,2013,2014,0.1756944739455777,HIGH,2322,True
Assam,Golaghat,Assam,GOLAGHAT,2013,2014,0.1354426256726186,HIGH,2844,True
Assam,Hailakandi,Assam,HAILAKANDI,2013,2014,0.1555607062438271,HIGH,1414,True
Assam,Jorhat,Assam,JORHAT,2013,2014,0.1217756706747807,HIGH,3478,True
Assam,Kamrup,Assam,KAMRUP,2013,2014,0.1334892285084536,HIGH,3310,True
Assam,Karbi Anglong,Assam,KARBI ANGLONG,2013,2014,0.0758596195926288,MEDIUM,637,True
Assam,Karimganj,Assam,KARIMGANJ,2013,2014,0.1331010951737654,HIGH,2411,True
Assam,Kokrajhar,Assam,KOKRAJHAR,2013,2014,0.1168484029631728,HIGH,1448,True
