FEATURE,MEAN,SCALE
WOMEN_CRIME_CORE_TOTAL,4.903004081010867,1.6802174602303503
WOMEN_VIOLENCE,4.85962682307384,1.6768033646540146
RAPE,3.2300746828233797,1.3170082213625358
KIDNAPPING_ABDUCTION,3.7142695244311614,1.500202580372458
DOWRY_DEATHS,1.64928711877987,1.3159185359127181
ASSAULT_WOMEN,3.6746124483968754,1.653617374463035
CRUELTY_WOMEN,3.785084786023065,1.9874036144051432
VIOLENT_CRIME,5.30253732713006,1.4394002930952314
SERIOUS_VIOLENT_CRIME,5.009402076415557,1.4102622716741147
PROPERTY_CRIME,5.849390685192551,1.6650611407687237
ECONOMIC_OFFENCES,4.085036893169393,1.621379134361086
PUBLIC_ORDER_CRIME,3.5517433089776955,1.711682325653743
TOTAL_IPC,7.418707930476414,1.5692158735664605
